history_bin,phase,layer_group,adjacent_overlap_count,adjacent_overlap_mean,adjacent_overlap_p10,adjacent_overlap_p50,adjacent_overlap_p90,consecutive_c4_fraction_count,consecutive_c4_fraction_mean,consecutive_c4_fraction_p10,consecutive_c4_fraction_p50,consecutive_c4_fraction_p90,within_128_tokens_mean,within_128_tokens_p50,within_512_tokens_mean,within_512_tokens_p50,within_2048_tokens_mean,within_2048_tokens_p50,within_8192_tokens_mean,within_8192_tokens_p50,within_32768_tokens_mean,within_32768_tokens_p50
16K-32K,assistant,all,13440,0.6427516392299107,0.349609375,0.6953125,0.84375,13440,0.488926649426894,0.3679060665362035,0.4911937377690802,0.6027397260273972,0.03835202171688988,0.0390625,0.11106363932291667,0.10546875,0.24553978329613096,0.228515625,0.5035066150483631,0.4990234375,1.0,1.0
16K-32K,assistant,early,4480,0.6588976178850446,0.421875,0.701171875,0.828125,4480,0.5220479801509645,0.4187866927592955,0.5244618395303327,0.6223091976516634,0.04634966169084821,0.05078125,0.13604561941964285,0.13671875,0.2916312081473214,0.28515625,0.5649121965680803,0.568359375,1.0,1.0
16K-32K,assistant,late,4480,0.6721888950892857,0.36894531250000007,0.73046875,0.869140625,4480,0.45864507618115746,0.3287671232876712,0.4598825831702544,0.5870841487279843,0.032289341517857145,0.03125,0.09175371442522322,0.083984375,0.2032684326171875,0.1875,0.43912876674107143,0.43359375,1.0,1.0
16K-32K,assistant,middle,4480,0.5971684047154018,0.279296875,0.64453125,0.8283203124999998,4480,0.4860868919485602,0.3816046966731898,0.48336594911937375,0.5929549902152642,0.036417061941964285,0.037109375,0.10539158412388393,0.099609375,0.24171970912388394,0.220703125,0.5064788818359375,0.5,1.0,1.0
16K-32K,prefill,all,13440,0.5598622639973958,0.21875,0.61328125,0.80859375,13440,0.47009947814742337,0.3561643835616438,0.47162426614481406,0.5812133072407045,0.036245291573660715,0.037109375,0.11587015787760417,0.115234375,0.2677464076450893,0.251953125,0.514532470703125,0.513671875,1.0,1.0
16K-32K,prefill,early,4480,0.6273537772042411,0.349609375,0.6787109375,0.810546875,4480,0.5078871959742801,0.4070450097847358,0.5088062622309197,0.6027397260273972,0.046402413504464286,0.052734375,0.1480442592075893,0.154296875,0.3270786830357143,0.32421875,0.5875876290457589,0.5966796875,1.0,1.0
16K-32K,prefill,late,4480,0.5712149483816964,0.248046875,0.6142578125,0.826171875,4480,0.4333829850433324,0.3150684931506849,0.4344422700587084,0.5499021526418787,0.030416434151785715,0.029296875,0.09487348284040178,0.091796875,0.2173191615513393,0.205078125,0.4412074497767857,0.439453125,1.0,1.0
16K-32K,prefill,middle,4480,0.48101806640625,0.142578125,0.49609375,0.78515625,4480,0.46902825342465754,0.3679060665362035,0.4657534246575342,0.5753424657534246,0.031917027064732144,0.03125,0.10469273158482142,0.1015625,0.2588413783482143,0.23046875,0.5148023332868303,0.513671875,1.0,1.0
2K-8K,assistant,all,21504,0.8111983707972935,0.62890625,0.84375,0.9453125,21504,0.713103028026279,0.5694716242661448,0.7045009784735812,0.87279843444227,0.04996590387253534,0.0546875,0.16481490362258183,0.171875,0.500227519444057,0.48046875,1.0,1.0,1.0,1.0
2K-8K,assistant,early,7168,0.8167702811104911,0.66015625,0.84375,0.94140625,7168,0.7334737887021247,0.6203522504892368,0.7162426614481409,0.8772994129158516,0.05453436715262277,0.060546875,0.18111964634486608,0.193359375,0.5304532732282367,0.515625,1.0,1.0,1.0,1.0
2K-8K,assistant,late,7168,0.8292808532714844,0.646484375,0.865234375,0.953125,7168,0.6954233427103718,0.5264187866927593,0.6966731898238747,0.87279843444227,0.04551669529506138,0.048828125,0.1478966304234096,0.15234375,0.4529664175851004,0.416015625,1.0,1.0,1.0,1.0
2K-8K,assistant,middle,7168,0.7875439780099052,0.576171875,0.82421875,0.9375,7168,0.7104119526663404,0.5772994129158513,0.6966731898238747,0.8688845401174168,0.049846649169921875,0.0546875,0.16542843409946986,0.171875,0.5172628675188337,0.5078125,1.0,1.0,1.0,1.0
2K-8K,prefill,all,21504,0.8135019029889788,0.6015625,0.857421875,0.953125,21504,0.7319524770524649,0.589041095890411,0.7279843444227005,0.8904109589041096,0.052768798101515996,0.05859375,0.1907117934454055,0.203125,0.5705333891369048,0.576171875,1.0,1.0,1.0,1.0
2K-8K,prefill,early,7168,0.8407764434814453,0.701171875,0.8671875,0.953125,7168,0.7552584764642158,0.6281800391389433,0.7514677103718199,0.8962818003913894,0.05758094787597656,0.0625,0.20837620326450892,0.220703125,0.602583476475307,0.607421875,1.0,1.0,1.0,1.0
2K-8K,prefill,late,7168,0.8168923514229911,0.6015625,0.861328125,0.955078125,7168,0.7104092225503216,0.5577299412915852,0.7025440313111546,0.8825831702544031,0.0488976069859096,0.052734375,0.17542975289481028,0.18359375,0.5270636422293526,0.5185546875,1.0,1.0,1.0,1.0
2K-8K,prefill,middle,7168,0.7828369140625,0.5267578125000001,0.8359375,0.947265625,7168,0.7301897321428571,0.5870841487279843,0.7240704500978473,0.8904109589041096,0.05182783944266183,0.056640625,0.18832942417689733,0.19921875,0.5819530487060547,0.59375,1.0,1.0,1.0,1.0
32K-64K,assistant,all,8064,0.6339128282335069,0.34375,0.681640625,0.833984375,8064,0.4394960181561208,0.31898238747553814,0.44031311154598823,0.5557729941291585,0.03739347912016369,0.037109375,0.1014799087766617,0.095703125,0.22703164721292163,0.2109375,0.41808888268849204,0.40234375,0.8601243760850694,0.89453125
32K-64K,assistant,early,2688,0.6414257231212798,0.421875,0.67578125,0.810546875,2688,0.4745516785481316,0.37573385518590996,0.4765166340508806,0.5694716242661448,0.04643903459821429,0.05078125,0.12823268345424108,0.12890625,0.27892267136346727,0.267578125,0.48601858956473215,0.47265625,0.8919539678664434,0.9140625
