history_bin,query_lag,overlap_count,overlap_mean,overlap_p10,overlap_p50,overlap_p90
16K-32K,1,26880,0.6013069516136533,0.271484375,0.658203125,0.8283203125000043
16K-32K,4,26880,0.5216250465029761,0.240234375,0.546875,0.751953125
16K-32K,16,26880,0.4602610270182292,0.201171875,0.474609375,0.6953125
16K-32K,64,26880,0.41182178315662205,0.162109375,0.416015625,0.65234375
16K-32K,256,26880,0.34150485084170384,0.115234375,0.337890625,0.568359375
2K-8K,1,43008,0.8123501368931362,0.6171875,0.849609375,0.94921875
2K-8K,4,43008,0.7684882481892904,0.564453125,0.798828125,0.9296875
2K-8K,16,43008,0.7305160704113188,0.5130859374999996,0.755859375,0.9140625
2K-8K,64,43008,0.6926138741629464,0.45703125,0.716796875,0.890625
2K-8K,256,43008,0.6277013960338774,0.384765625,0.650390625,0.84375
32K-64K,1,16128,0.5704934256417411,0.21484375,0.630859375,0.814453125
32K-64K,4,16128,0.488006349593874,0.203125,0.51171875,0.73046875
32K-64K,16,16128,0.42466602628193206,0.16796875,0.427734375,0.67578125
32K-64K,64,16128,0.3612879193018353,0.119140625,0.35546875,0.611328125
32K-64K,256,16128,0.2870850335984003,0.076171875,0.279296875,0.505859375
64K+,1,5376,0.5032214210146949,0.142578125,0.560546875,0.78125
64K+,4,5376,0.4327715919131324,0.1328125,0.455078125,0.685546875
64K+,16,5376,0.3730414254324777,0.10546875,0.380859375,0.625
64K+,64,5376,0.3057367234002976,0.07421875,0.291015625,0.548828125
64K+,256,5376,0.2518074398949033,0.0546875,0.2412109375,0.462890625
8K-16K,1,37632,0.6785794212704613,0.38671875,0.734375,0.869140625
8K-16K,4,37632,0.6097644624255952,0.3671875,0.63671875,0.806640625
8K-16K,16,37632,0.5514936382267751,0.302734375,0.57421875,0.763671875
8K-16K,64,37632,0.4944310609986182,0.255859375,0.509765625,0.708984375
8K-16K,256,37632,0.42177187342222044,0.189453125,0.431640625,0.630859375
