case_id,status,skip_reason,stage,pattern,pass_order,cache_state,B,H,Q,topk,warmup,repeat,seed,timestamp,setup_alloc_ms,setup_quant_ms,latency_ms_median,latency_ms_p5,latency_ms_p95,latency_ms_mean,latency_ms_std,tflops,pairs,flops,achieved_adjacent_overlap,unique_kv,reuse_factor,selected_kv_working_set_bytes,selected_kv_working_set_vs_l2,c4_consecutive_fraction,trace_rows,hidden_layer_ids,setup_indices_ms,peak_mem_alloc_bytes,temp_c_before,power_w_before,sm_clock_mhz_before,mem_clock_mhz_before,temp_c_after,power_w_after,sm_clock_mhz_after,mem_clock_mhz_after
b128_h16384_q1024_csa_trace_replay_ascending_steady,ok,,full,csa_trace_replay,ascending,steady,128,16384,1024,2048,10,30,20260803,2026-08-11T10:38:23.624659+00:00,1.6096308827400208,55.473554879426956,77.43545532226562,73.22006225585938,78.64044952392578,76.68106536865234,1.9465247343245462,482.7684577924197,268435456,37383395344384,0.6848376321652767,1788928,150.05380652547223,1030422528,19.65375,0.5317408940563464,"[8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5]","[2,10,16,22,30,36,2,8,14,22,28,36,42,6,14,20,28,34,40,6,12,20,26,32,40,4,12,18,24,32,38,4,10,16,24,30,38,2,8,16,22,30,36,42,8,14,22,28,34,42,6,14,20,26,34,40,6,12,18,26,32,40,4,10,18,24,32,38,2,10,16,24,30,36,2,8,16,22,28,36,42,8,14,20,28,34,42,6,12,20,26,34,40,4,12,18,26,32,38,4,10,18,24,30,38,2,10,16,22,30,36,2,8,14,22,28,36,42,6,14,20,28,34,40,6,12,20,26]",5408.561453223228,19404999680,53.0,112.17,1695.0,1593.0,54.0,330.77,1695.0,1593.0
b128_h16384_q1024_csa_trace_replay_descending_steady,ok,,full,csa_trace_replay,descending,steady,128,16384,1024,2048,10,30,20260803,2026-08-11T10:38:32.298100+00:00,1.6096308827400208,55.473554879426956,77.52880096435547,73.6013412475586,79.25167846679688,76.81200815836588,1.71336466911467,482.18719855568696,268435456,37383395344384,0.6848376321652767,1788928,150.05380652547223,1030422528,19.65375,0.5317408940563464,"[8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5]","[2,10,16,22,30,36,2,8,14,22,28,36,42,6,14,20,28,34,40,6,12,20,26,32,40,4,12,18,24,32,38,4,10,16,24,30,38,2,8,16,22,30,36,42,8,14,22,28,34,42,6,14,20,26,34,40,6,12,18,26,32,40,4,10,18,24,32,38,2,10,16,24,30,36,2,8,16,22,28,36,42,8,14,20,28,34,42,6,12,20,26,34,40,4,12,18,26,32,38,4,10,18,24,30,38,2,10,16,22,30,36,2,8,14,22,28,36,42,6,14,20,28,34,40,6,12,20,26]",5223.68111088872,19404999680,52.0,111.79,1740.0,1593.0,50.0,330.15,1710.0,1593.0
b128_h16384_q1024_original_strided_ascending_steady,ok,,full,original_strided,ascending,steady,128,16384,1024,2048,10,30,20260803,2026-08-11T10:38:20.241136+00:00,1.6096308827400208,55.473554879426956,78.26428985595703,73.0228500366211,81.61561584472656,77.5959686279297,2.6355849416823176,477.6558429545194,268435456,37383395344384,0.1211201993134947,2227338,120.51850953918984,1282946688,24.47026611328125,,,,73.50495085120201,19404999680,54.0,302.64,1695.0,1593.0,51.0,330.41,1695.0,1593.0
b128_h16384_q1024_original_strided_descending_steady,ok,,full,original_strided,descending,steady,128,16384,1024,2048,10,30,20260803,2026-08-11T10:38:40.840176+00:00,1.6096308827400208,55.473554879426956,77.22099304199219,75.37648010253906,79.80390167236328,77.44078318277995,1.7237447178411427,484.109228225739,268435456,37383395344384,0.1211201993134947,2227338,120.51850953918984,1282946688,24.47026611328125,,,,71.33183628320694,20479265792,53.0,299.27,1740.0,1593.0,51.0,334.56,1665.0,1593.0
b128_h16384_q2048_csa_trace_replay_ascending_steady,ok,,full,csa_trace_replay,ascending,steady,128,16384,2048,2048,10,30,20260803,2026-08-11T10:40:27.130209+00:00,2.4117790162563324,100.36948695778847,153.68418884277344,149.0788116455078,155.2010498046875,153.33673502604168,1.7047311708220327,486.49630942359425,536870912,74766790688768,0.6760175636936294,1946700,275.7851297066831,1121299200,21.3870849609375,0.5297196793229613,"[8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5]","[2,10,16,22,30,36,2,8,14,22,28,36,42,6,14,20,28,34,40,6,12,20,26,32,40,4,12,18,24,32,38,4,10,16,24,30,38,2,8,16,22,30,36,42,8,14,22,28,34,42,6,14,20,26,34,40,6,12,18,26,32,40,4,10,18,24,32,38,2,10,16,24,30,36,2,8,16,22,28,36,42,8,14,20,28,34,42,6,12,20,26,34,40,4,12,18,26,32,38,4,10,18,24,30,38,2,10,16,22,30,36,2,8,14,22,28,36,42,6,14,20,28,34,40,6,12,20,26]",10599.90967437625,37534911488,52.0,132.49,1740.0,1593.0,56.0,339.1,1575.0,1593.0
b128_h16384_q2048_csa_trace_replay_descending_steady,ok,,full,csa_trace_replay,descending,steady,128,16384,2048,2048,10,30,20260803,2026-08-11T10:40:44.150129+00:00,2.4117790162563324,100.36948695778847,152.32211303710938,145.96791076660156,158.77442932128906,152.72256317138672,3.697021721831794,490.8465960589254,536870912,74766790688768,0.6760175636936294,1946700,275.7851297066831,1121299200,21.3870849609375,0.5297196793229613,"[8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5]","[2,10,16,22,30,36,2,8,14,22,28,36,42,6,14,20,28,34,40,6,12,20,26,32,40,4,12,18,24,32,38,4,10,16,24,30,38,2,8,16,22,30,36,42,8,14,22,28,34,42,6,14,20,26,34,40,6,12,18,26,32,40,4,10,18,24,32,38,2,10,16,24,30,36,2,8,16,22,28,36,42,8,14,20,28,34,42,6,12,20,26,34,40,4,12,18,26,32,38,4,10,18,24,30,38,2,10,16,22,30,36,2,8,14,22,28,36,42,6,14,20,28,34,40,6,12,20,26]",10710.56355908513,37534911488,52.0,129.9,1635.0,1593.0,51.0,335.6,1650.0,1593.0
b128_h16384_q2048_original_strided_ascending_steady,ok,,full,original_strided,ascending,steady,128,16384,2048,2048,10,30,20260803,2026-08-11T10:40:20.574104+00:00,2.4117790162563324,100.36948695778847,155.1036834716797,148.5262451171875,158.0419158935547,154.0503723144531,3.3708548941770777,482.043939997206,536870912,74766790688768,0.11766083367463724,2358297,227.65195053888462,1358379072,25.909024658203126,,,,140.91649651527405,37534911488,54.0,304.97,1635.0,1593.0,55.0,341.07,1560.0,1593.0
b128_h16384_q2048_original_strided_descending_steady,ok,,full,original_strided,descending,steady,128,16384,2048,2048,10,30,20260803,2026-08-11T10:41:01.228355+00:00,2.4117790162563324,100.36948695778847,155.83123779296875,149.3278350830078,158.15750122070312,154.769509379069,2.8945369201220537,479.793344054035,536870912,74766790688768,0.11766083367463724,2358297,227.65195053888462,1358379072,25.909024658203126,,,,134.11448895931244,39683443712,54.0,299.34,1725.0,1593.0,53.0,332.18,1725.0,1593.0
b128_h16384_q256_csa_trace_replay_ascending_steady,ok,,full,csa_trace_replay,ascending,steady,128,16384,256,2048,10,30,20260803,2026-08-11T10:37:38.074255+00:00,1.0104216635227203,21.263744682073593,18.262239456176758,18.248767852783203,18.31804847717285,18.280201594034832,0.0272941665433181,511.75809289561107,67108864,9345848836096,0.6793155445772059,1415080,47.42407779065495,815086080,15.546533203125,0.5348452215325343,"[8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5]","[2,10,16,22,30,36,2,8,14,22,28,36,42,6,14,20,28,34,40,6,12,20,26,32,40,4,12,18,24,32,38,4,10,16,24,30,38,2,8,16,22,30,36,42,8,14,22,28,34,42,6,14,20,26,34,40,6,12,18,26,32,40,4,10,18,24,32,38,2,10,16,24,30,36,2,8,16,22,28,36,42,8,14,20,28,34,42,6,12,20,26,34,40,4,12,18,26,32,38,4,10,18,24,30,38,2,10,16,22,30,36,2,8,14,22,28,36,42,6,14,20,28,34,40,6,12,20,26]",1252.3732148110867,5807565824,48.0,93.48,1755.0,1593.0,53.0,313.17,1680.0,1593.0
b128_h16384_q256_csa_trace_replay_descending_steady,ok,,full,csa_trace_replay,descending,steady,128,16384,256,2048,10,30,20260803,2026-08-11T10:37:40.246884+00:00,1.0104216635227203,21.263744682073593,18.257375717163086,18.08684730529785,18.31260871887207,18.254566383361816,0.06367571657440006,511.8944245262101,67108864,9345848836096,0.6793155445772059,1415080,47.42407779065495,815086080,15.546533203125,0.5348452215325343,"[8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5,19,3,8,0,5]","[2,10,16,22,30,36,2,8,14,22,28,36,42,6,14,20,28,34,40,6,12,20,26,32,40,4,12,18,24,32,38,4,10,16,24,30,38,2,8,16,22,30,36,42,8,14,22,28,34,42,6,14,20,26,34,40,6,12,18,26,32,40,4,10,18,24,32,38,2,10,16,24,30,36,2,8,16,22,28,36,42,8,14,20,28,34,42,6,12,20,26,34,40,4,12,18,26,32,38,4,10,18,24,30,38,2,10,16,22,30,36,2,8,14,22,28,36,42,6,14,20,28,34,40,6,12,20,26]",1239.315439015627,5807565824,50.0,94.21,1755.0,1593.0,50.0,315.05,1725.0,1593.0
