B,H,case_id,flops,flush_bytes,known_touched_bytes,known_touched_vs_l2,l2_bytes,latency_ms,latency_ms_mean,latency_ms_median,latency_ms_p5,latency_ms_p95,latency_ms_std,mem_clock_mhz_after,mem_clock_mhz_before,pairs,pass_count,pass_order,pass_spread_pct,pattern,peak_mem_alloc_bytes,power_w_after,power_w_before,repeat,seed,selected_kv_bytes,selected_kv_vs_l2,setup_alloc_ms,setup_indices_ms,setup_metadata_ms,setup_quant_ms,skip_reason,sm_clock_mhz_after,sm_clock_mhz_before,status,temp_c_after,temp_c_before,tflops,timestamp,topk,unique_selected_kv,warmup
1,4096,descending_shared_b1_h4096,285212672,268435456,1490944,0.0284375,52428800,0.03377600014209747,0.03381013348698616,0.03376000002026558,0.033215999603271484,0.03452799841761589,0.0003803095839934555,2619.0,2619.0,2048,2,descending,0.09478745155384605,shared,289627648,172.32,172.32,30,20260810,1343488,0.025625,0.6434560054913163,0.7704489980824292,0.07973099127411842,0.6486120109912008,,1980.0,1980.0,ok,42.0,42.0,8.444242503638883,2026-08-10T11:13:53.771544+00:00,2048,2048,5
1,4096,descending_independent_b1_h4096,285212672,268435456,1490944,0.0284375,52428800,0.03377600014209747,0.03391786652306716,0.03379200026392937,0.03328000009059906,0.03433600068092346,0.0007072861629881001,2619.0,2619.0,2048,2,descending,0.09478745155384605,independent,289627648,172.32,172.32,30,20260810,1343488,0.025625,0.6434560054913163,0.7704489980824292,0.07973099127411842,0.6486120109912008,,1980.0,1980.0,ok,42.0,42.0,8.444242503638883,2026-08-10T11:13:53.773076+00:00,2048,2048,5
8,4096,descending_shared_b8_h4096,2281701376,268435456,2523136,0.048125,52428800,0.036607999354600906,0.036814934015274046,0.036639999598264694,0.036288000643253326,0.03743999823927879,0.0008122259771099171,2619.0,2619.0,16384,2,descending,0.17497946435709455,shared,384116736,170.67,170.67,30,20260810,1343488,0.025625,0.6598299951292574,2.769825019640848,0.0853060046210885,1.194351993035525,,1980.0,1980.0,ok,42.0,42.0,62.32799278008548,2026-08-10T11:13:54.025870+00:00,2048,2048,5
8,4096,descending_independent_b8_h4096,2281701376,268435456,11927552,0.2275,52428800,0.037647999823093414,0.03776533355315526,0.037696000188589096,0.03705599904060364,0.03868800029158592,0.00047908067131086947,2619.0,2619.0,16384,2,descending,0.2553210967452868,independent,384116736,170.67,170.67,30,20260810,10747904,0.205,0.6598299951292574,2.769825019640848,0.0853060046210885,1.194351993035525,,1980.0,1980.0,ok,42.0,42.0,60.606276449998546,2026-08-10T11:13:54.027079+00:00,2048,16384,5
16,4096,descending_shared_b16_h4096,4563402752,268435456,3702784,0.070625,52428800,0.04391999915242195,0.044065066675345106,0.043935999274253845,0.04358400031924248,0.04479999840259552,0.0006913027916222289,2619.0,2619.0,32768,2,descending,0.0728868539776828,shared,501223424,169.05,169.05,30,20260810,1343488,0.025625,0.6579489854630083,4.936213983455673,0.09562098421156406,1.468313013901934,,1980.0,1980.0,ok,42.0,42.0,103.90262854508978,2026-08-10T11:13:53.925140+00:00,2048,2048,5
16,4096,descending_independent_b16_h4096,4563402752,268435456,23855104,0.455,52428800,0.0457760002464056,0.045799466967582705,0.04566400125622749,0.045184001326560974,0.04652800038456917,0.0004294588650875795,2619.0,2619.0,32768,2,descending,0.4905351572222827,independent,501223424,169.05,169.05,30,20260810,21495808,0.41,0.6579489854630083,4.936213983455673,0.09562098421156406,1.468313013901934,,1980.0,1980.0,ok,42.0,42.0,99.69045012938935,2026-08-10T11:13:53.926647+00:00,2048,32768,5
32,4096,descending_shared_b32_h4096,9126805504,268435456,6062080,0.115625,52428800,0.05788799934089184,0.05801386709014575,0.058079998940229416,0.05686400085687637,0.05929600074887276,0.0006766032371666431,2619.0,2619.0,65536,2,descending,0.6655560184332554,shared,731914240,169.05,172.32,30,20260810,1343488,0.025625,0.677286006975919,9.422828006790951,0.11590000940486789,2.3676120035815984,,1980.0,1980.0,ok,42.0,42.0,157.66490483384837,2026-08-10T11:13:53.835494+00:00,2048,2048,5
32,4096,descending_independent_b32_h4096,9126805504,268435456,47710208,0.91,52428800,0.06123200058937073,0.06128213343520959,0.061216000467538834,0.059967998415231705,0.06281600147485733,0.0008924094136065013,2619.0,2619.0,65536,2,descending,0.052274312956401836,independent,731914240,169.05,172.32,30,20260810,42991616,0.82,0.677286006975919,9.422828006790951,0.11590000940486789,2.3676120035815984,,1980.0,1980.0,ok,42.0,42.0,149.05288148885256,2026-08-10T11:13:53.836715+00:00,2048,65536,5
64,4096,descending_shared_b64_h4096,18253611008,268435456,10780672,0.205625,52428800,0.08123200014233589,0.08113600040475527,0.08111999928951263,0.07952000200748444,0.08243200182914734,0.0011782131069565604,2619.0,2619.0,131072,2,descending,0.27613622732793885,shared,1193885696,170.96,170.96,30,20260810,1343488,0.025625,0.756201014155522,18.29853598610498,0.149536004755646,3.703245980432257,,1980.0,1980.0,ok,42.0,42.0,224.71003639816158,2026-08-10T11:13:54.104356+00:00,2048,2048,5
64,4096,descending_independent_b64_h4096,18253611008,268435456,95420416,1.82,52428800,0.08764800056815147,0.08773546740412712,0.08755200356245041,0.08640000224113464,0.08912000060081482,0.0007156814809387733,2619.0,2619.0,131072,2,descending,0.21929139664425001,independent,1193885696,170.96,170.96,30,20260810,85983232,1.64,0.756201014155522,18.29853598610498,0.149536004755646,3.703245980432257,,1980.0,1980.0,ok,42.0,42.0,208.26068805308472,2026-08-10T11:13:54.105722+00:00,2048,131072,5
