B,H,independent_known_touched_vs_l2,independent_latency_us,independent_over_shared,independent_selected_kv_vs_l2,independent_tflops,independent_unique_kv,shared_known_touched_vs_l2,shared_latency_us,shared_over_independent_tflops,shared_selected_kv_vs_l2,shared_tflops,shared_unique_kv
1,4096,0.0284375,33.77600014209747,1.0,0.025625,8.444242503638883,2048,0.0284375,33.77600014209747,1.0,0.025625,8.444242503638883,2048
1,8192,0.0284375,33.76000002026558,0.9971644397193664,0.025625,8.448273010904614,2048,0.0284375,33.85600075125694,0.9971688736843078,0.025625,8.42435488286129,2048
1,16384,0.0284375,33.952001482248306,0.9985882793273068,0.025625,8.400474579184486,2048,0.0284375,33.99999998509884,0.9985876133407512,0.025625,8.388609860957487,2048
1,32768,0.0284375,34.0960007160902,0.9971923587531303,0.025625,8.365079290444017,2048,0.0284375,34.19199958443642,0.9971992864732275,0.025625,8.341651099722746,2048
1,65536,0.0284375,34.28800031542778,1.0004668569602448,0.025625,8.318237067933518,2048,0.0284375,34.272000193595886,1.0004596710179654,0.025625,8.322060720434212,2048
1,131072,0.0284375,34.17599946260452,0.998597464769262,0.025625,8.34541568757341,2048,0.0284375,34.223999828100204,0.9985968075329638,0.025625,8.333705463146321,2048
1,262144,0.0284375,34.303998574614525,1.0004666391318795,0.025625,8.314855074445664,2048,0.0284375,34.28799845278263,1.0004451365432845,0.025625,8.318556320291414,2048
1,524288,0.0284375,34.47999991476536,1.0009289434501079,0.025625,8.272230038852811,2048,0.0284375,34.44799967110157,1.0009169409261909,0.025625,8.279815185126301,2048
8,4096,0.2275,37.647999823093414,1.0284091042074879,0.205,60.606276449998546,16384,0.048125,36.607999354600906,1.0284082182726964,0.025625,62.32799278008548,2048
8,8192,0.2275,38.52800093591213,1.041072263165275,0.205,59.238244769936315,16384,0.048125,37.007998675107956,1.0409968932525904,0.025625,61.66682876724022,2048
8,16384,0.2275,38.047999143600464,1.0321180479676608,0.205,59.9691937381484,16384,0.048125,36.86399944126606,1.0321345708418388,0.025625,61.89627804265488,2048
8,32768,0.2275,38.07999938726425,1.0325379565721855,0.205,59.91930655239632,16384,0.048125,36.879999563097954,1.0325358126343582,0.025625,61.868829883565766,2048
8,65536,0.2275,37.887999787926674,1.0322580563310093,0.205,60.22231356199751,16384,0.048125,36.70400008559227,1.0322581046902397,0.025625,62.164971257568865,2048
8,131072,0.2275,37.728000432252884,1.0261096563417726,0.205,60.478056704536655,16384,0.048125,36.768000572919846,1.0261061215475722,0.025625,62.05690420382625,2048
8,262144,0.2275,38.016000762581825,1.0276816699596458,0.205,60.020180901558035,16384,0.048125,36.99200041592121,1.0276823238981807,0.025625,61.68167898970236,2048
8,524288,0.2275,38.2240004837513,1.0333045517586972,0.205,59.692908824681744,16384,0.048125,36.99199855327606,1.0333051439563443,0.025625,61.6809897462607,2048
16,4096,0.455,45.7760002464056,1.0422586778187881,0.41,99.69045012938935,32768,0.070625,43.91999915242195,1.042252576954296,0.025625,103.90262854508978,2048
16,8192,0.455,47.08799906075001,1.0351740931152233,0.41,96.91545861924448,32768,0.070625,45.48799991607666,1.0351499262732409,0.025625,100.32202984444825,2048
16,16384,0.455,46.25600017607212,1.045947914925333,0.41,98.65566378938176,32768,0.070625,44.22399960458279,1.0459469768536445,0.025625,103.1885932899934,2048
16,32768,0.455,46.38399928808212,1.0507429862829083,0.41,98.38369759281656,32768,0.070625,44.144000858068466,1.0507369979567436,0.025625,103.37539105656018,2048
