B,H,Q,topk,seed,global_mean_adjacent_overlap,adjacent_pair_count
1,2048,2,2048,20260803,0.9990234375,1
1,4096,2,2048,20260803,0.47509765625,1
1,8192,2,2048,20260803,0.11279296875,1
1,16384,2,2048,20260803,0.12158203125,1
1,32768,2,2048,20260803,0.0,1
1,65536,2,2048,20260803,0.03125,1
1,131072,2,2048,20260803,0.0,1
1,262144,2,2048,20260803,0.00732421875,1
1,524288,2,2048,20260803,0.0,1
1,2048,4,2048,20260803,0.99853515625,3
1,4096,4,2048,20260803,0.4363606770833333,3
1,8192,4,2048,20260803,0.20719401041666666,3
1,16384,4,2048,20260803,0.0810546875,3
1,32768,4,2048,20260803,0.0,3
1,65536,4,2048,20260803,0.021158854166666668,3
1,131072,4,2048,20260803,0.010416666666666666,3
1,262144,4,2048,20260803,0.0048828125,3
1,524288,4,2048,20260803,0.0,3
1,2048,8,2048,20260803,0.99755859375,7
1,4096,8,2048,20260803,0.49539620535714285,7
1,8192,8,2048,20260803,0.13678850446428573,7
1,16384,8,2048,20260803,0.08991350446428571,7
1,32768,8,2048,20260803,0.040318080357142856,7
1,65536,8,2048,20260803,0.022530691964285716,7
1,131072,8,2048,20260803,0.006696428571428571,7
1,262144,8,2048,20260803,0.005510602678571429,7
1,524288,8,2048,20260803,0.0,7
1,2048,16,2048,20260803,0.99560546875,15
1,4096,16,2048,20260803,0.46435546875,15
1,8192,16,2048,20260803,0.21803385416666668,15
1,16384,16,2048,20260803,0.118359375,15
1,32768,16,2048,20260803,0.08128255208333333,15
1,65536,16,2048,20260803,0.058984375,15
1,131072,16,2048,20260803,0.00625,15
1,262144,16,2048,20260803,0.005110677083333333,15
1,524288,16,2048,20260803,0.0,15
1,2048,32,2048,20260803,0.99169921875,31
1,4096,32,2048,20260803,0.4679151965725806,31
1,8192,32,2048,20260803,0.22254599294354838,31
1,16384,32,2048,20260803,0.10931199596774194,31
1,32768,32,2048,20260803,0.08715032762096774,31
1,65536,32,2048,20260803,0.04057459677419355,31
1,131072,32,2048,20260803,0.015026461693548387,31
1,262144,32,2048,20260803,0.005276587701612903,31
1,524288,32,2048,20260803,0.0,31
1,2048,64,2048,20260803,0.9842432415674603,63
1,4096,64,2048,20260803,0.47646949404761907,63
1,8192,64,2048,20260803,0.2423580109126984,63
1,16384,64,2048,20260803,0.10764663938492064,63
1,32768,64,2048,20260803,0.09202938988095238,63
1,65536,64,2048,20260803,0.031374007936507936,63
1,131072,64,2048,20260803,0.011377728174603174,63
1,262144,64,2048,20260803,0.005262586805555556,63
1,524288,64,2048,20260803,0.00916108630952381,63
1,2048,128,2048,20260803,0.9691114050196851,127
1,4096,128,2048,20260803,0.48253721702755903,127
1,8192,128,2048,20260803,0.23893485482283464,127
1,16384,128,2048,20260803,0.11985574557086615,127
1,32768,128,2048,20260803,0.07500307578740158,127
1,65536,128,2048,20260803,0.034602608267716536,127
1,131072,128,2048,20260803,0.016417015255905512,127
1,262144,128,2048,20260803,0.005232683316929134,127
1,524288,128,2048,20260803,0.004544475885826771,127
1,2048,256,2048,20260803,0.9418466605392157,255
1,4096,256,2048,20260803,0.4838426776960784,255
1,8192,256,2048,20260803,0.2553098192401961,255
1,16384,256,2048,20260803,0.12882008272058823,255
1,32768,256,2048,20260803,0.07243412990196078,255
1,65536,256,2048,20260803,0.03348843443627451,255
1,131072,256,2048,20260803,0.014322916666666666,255
1,262144,256,2048,20260803,0.005279181985294118,255
1,524288,256,2048,20260803,0.0061370251225490195,255
1,2048,512,2048,20260803,0.8919837787426614,511
1,4096,512,2048,20260803,0.47177524156066536,511
1,8192,512,2048,20260803,0.24557106928816047,511
1,16384,512,2048,20260803,0.12380461870107633,511
1,32768,512,2048,20260803,0.061058089224559686,511
1,65536,512,2048,20260803,0.03159208353718199,511
1,131072,512,2048,20260803,0.01479654629403131,511
1,262144,512,2048,20260803,0.006545453155577299,511
1,524288,512,2048,20260803,0.006941046966731898,511
1,2048,1024,2048,20260803,0.8110695220857771,1023
1,4096,1024,2048,20260803,0.4405700146627566,1023
1,8192,1024,2048,20260803,0.23165962167033236,1023
1,16384,1024,2048,20260803,0.11923942677785923,1023
1,32768,1024,2048,20260803,0.05516909900415445,1023
1,65536,1024,2048,20260803,0.03247141907991202,1023
1,131072,1024,2048,20260803,0.01666552113880743,1023
1,262144,1024,2048,20260803,0.007239736070381231,1023
1,524288,1024,2048,20260803,0.005418824077468231,1023
1,2048,2048,2048,20260803,0.6928730020304104,2047
1,4096,2048,2048,20260803,0.4027421035356619,2047
1,8192,2048,2048,20260803,0.22087105367611137,2047
1,16384,2048,2048,20260803,0.11496125236626771,2047
1,32768,2048,2048,20260803,0.057523681759892524,2047
1,65536,2048,2048,20260803,0.031713950674767954,2047
1,131072,2048,2048,20260803,0.015528631839276991,2047
1,262144,2048,2048,20260803,0.007097371916218857,2047
1,524288,2048,2048,20260803,0.004726094971299463,2047
1,2048,4096,2048,20260803,0.5491351638812576,4095
1,4096,4096,2048,20260803,0.34491388602716727,4095
1,8192,4096,2048,20260803,0.19892816601800978,4095
1,16384,4096,2048,20260803,0.1110588846916972,4095
1,32768,4096,2048,20260803,0.058753529456654456,4095
1,65536,4096,2048,20260803,0.030712950244200243,4095
1,131072,4096,2048,20260803,0.016163361378205128,4095
1,262144,4096,2048,20260803,0.00705807864010989,4095
1,524288,4096,2048,20260803,0.004077476343101343,4095
1,2048,8192,2048,20260803,0.4022200552626358,8191
1,4096,8192,2048,20260803,0.2736248006577341,8191
1,8192,8192,2048,20260803,0.16828689882569284,8191
1,16384,8192,2048,20260803,0.10048638559089244,8191
1,32768,8192,2048,20260803,0.05523521433585643,8191
1,65536,8192,2048,20260803,0.029207159057959956,8191
1,131072,8192,2048,20260803,0.015254809966731779,8191
1,262144,8192,2048,20260803,0.007549671037571725,8191
1,524288,8192,2048,20260803,0.003907978745727018,8191
1,2048,16384,2048,20260803,0.2751817277723097,16383
1,4096,16384,2048,20260803,0.20016616404962462,16383
1,8192,16384,2048,20260803,0.13412179593557347,16383
1,16384,16384,2048,20260803,0.0864998147374565,16383
1,32768,16384,2048,20260803,0.05068444614844656,16383
1,65536,16384,2048,20260803,0.02790844906877556,16383
1,131072,16384,2048,20260803,0.014880939607748885,16383
1,262144,16384,2048,20260803,0.007338435325489837,16383
1,524288,16384,2048,20260803,0.003646506906930965,16383
1,2048,32768,2048,20260803,0.1771726883898053,32767
1,4096,32768,2048,20260803,0.13716676708368938,32767
1,8192,32768,2048,20260803,0.09900362431142613,32767
1,16384,32768,2048,20260803,0.06911409714327678,32767
1,32768,32768,2048,20260803,0.0429446689886166,32767
1,65536,32768,2048,20260803,0.025411487262337107,32767
1,131072,32768,2048,20260803,0.014090923342272714,32767
1,262144,32768,2048,20260803,0.007244450399792474,32767
1,524288,32768,2048,20260803,0.0035976822384182258,32767
2,2048,2,2048,20260803,0.9990234375,2
2,4096,2,2048,20260803,0.475341796875,2
2,8192,2,2048,20260803,0.352783203125,2
2,16384,2,2048,20260803,0.12109375,2
2,32768,2,2048,20260803,0.0,2
2,65536,2,2048,20260803,0.031494140625,2
2,131072,2,2048,20260803,0.0,2
2,262144,2,2048,20260803,0.007568359375,2
2,524288,2,2048,20260803,0.0,2
2,2048,4,2048,20260803,0.99853515625,6
2,4096,4,2048,20260803,0.4732259114583333,6
2,8192,4,2048,20260803,0.287109375,6
2,16384,4,2048,20260803,0.08072916666666667,6
2,32768,4,2048,20260803,0.0,6
2,65536,4,2048,20260803,0.021240234375,6
2,131072,4,2048,20260803,0.010416666666666666,6
2,262144,4,2048,20260803,0.004964192708333333,6
2,524288,4,2048,20260803,0.0,6
2,2048,8,2048,20260803,0.9975934709821429,14
2,4096,8,2048,20260803,0.48831612723214285,14
2,8192,8,2048,20260803,0.23939732142857142,14
2,16384,8,2048,20260803,0.08973911830357142,14
2,32768,8,2048,20260803,0.024588448660714284,14
2,65536,8,2048,20260803,0.022565569196428572,14
2,131072,8,2048,20260803,0.006661551339285714,14
2,262144,8,2048,20260803,0.005510602678571429,14
2,524288,8,2048,20260803,0.0,14
2,2048,16,2048,20260803,0.9956217447916667,30
2,4096,16,2048,20260803,0.4908528645833333,30
2,8192,16,2048,20260803,0.26197916666666665,30
2,16384,16,2048,20260803,0.1041015625,30
2,32768,16,2048,20260803,0.07394205729166667,30
2,65536,16,2048,20260803,0.063916015625,30
2,131072,16,2048,20260803,0.006201171875,30
2,262144,16,2048,20260803,0.005126953125,30
2,524288,16,2048,20260803,0.0,30
2,2048,32,2048,20260803,0.9917070942540323,62
2,4096,32,2048,20260803,0.4898799773185484,62
2,8192,32,2048,20260803,0.23898216985887097,62
2,16384,32,2048,20260803,0.09866431451612903,62
2,32768,32,2048,20260803,0.07839276713709678,62
2,65536,32,2048,20260803,0.04296875,62
2,131072,32,2048,20260803,0.016192036290322582,62
2,262144,32,2048,20260803,0.005284463205645161,62
2,524288,32,2048,20260803,0.0,62
2,2048,64,2048,20260803,0.9842587425595238,126
2,4096,64,2048,20260803,0.4934508308531746,126
2,8192,64,2048,20260803,0.2542472718253968,126
2,16384,64,2048,20260803,0.10610816592261904,126
2,32768,64,2048,20260803,0.0903591579861111,126
2,65536,64,2048,20260803,0.03255595858134921,126
2,131072,64,2048,20260803,0.011943514384920634,126
2,262144,64,2048,20260803,0.005250961061507937,126
2,524288,64,2048,20260803,0.009009951636904762,126
2,2048,128,2048,20260803,0.969113327386811,254
2,4096,128,2048,20260803,0.48999407910925197,254
2,8192,128,2048,20260803,0.2519627368356299,254
2,16384,128,2048,20260803,0.12575356791338582,254
2,32768,128,2048,20260803,0.07832108144685039,254
2,65536,128,2048,20260803,0.03694020669291338,254
2,131072,128,2048,20260803,0.01610751414862205,254
2,262144,128,2048,20260803,0.005242295152559055,254
2,524288,128,2048,20260803,0.004469503567913386,254
2,2048,256,2048,20260803,0.9418485753676471,510
2,4096,256,2048,20260803,0.4835315180759804,510
2,8192,256,2048,20260803,0.2502383961397059,510
2,16384,256,2048,20260803,0.1282427619485294,510
2,32768,256,2048,20260803,0.07141065410539216,510
2,65536,256,2048,20260803,0.03494657628676471,510
2,131072,256,2048,20260803,0.01461014093137255,510
2,262144,256,2048,20260803,0.005282054227941177,510
2,524288,256,2048,20260803,0.00606234681372549,510
2,2048,512,2048,20260803,0.8919876009050881,1022
2,4096,512,2048,20260803,0.47121720584637966,1022
2,8192,512,2048,20260803,0.24574736653008805,1022
2,16384,512,2048,20260803,0.12556615780944227,1022
2,32768,512,2048,20260803,0.0626495421049413,1022
2,65536,512,2048,20260803,0.03216684121208415,1022
2,131072,512,2048,20260803,0.014794157442514676,1022
2,262144,512,2048,20260803,0.006547364236790607,1022
2,524288,512,2048,20260803,0.006885147841242662,1022
2,2048,1024,2048,20260803,0.8110745337701613,2046
2,4096,1024,2048,20260803,0.44466265159152,2046
2,8192,1024,2048,20260803,0.23565822985398338,2046
2,16384,1024,2048,20260803,0.1185148804068915,2046
2,32768,1024,2048,20260803,0.05748473584127566,2046
2,65536,1024,2048,20260803,0.03275183475378788,2046
2,131072,1024,2048,20260803,0.01640085647299609,2046
2,262144,1024,2048,20260803,0.007295103250244379,2046
2,524288,1024,2048,20260803,0.005396390823558163,2046
2,2048,2048,2048,20260803,0.6928706166798974,4094
2,4096,2048,2048,20260803,0.4039843940828041,4094
2,8192,2048,2048,20260803,0.2231821005205789,4094
2,16384,2048,2048,20260803,0.11411540707437713,4094
2,32768,2048,2048,20260803,0.05910612329018075,4094
2,65536,2048,2048,20260803,0.031858145113275525,4094
2,131072,2048,2048,20260803,0.015475199987787005,4094
2,262144,2048,2048,20260803,0.007146748671836834,4094
2,524288,2048,2048,20260803,0.004710470925439668,4094
2,2048,4096,2048,20260803,0.5488645523313492,8190
2,4096,4096,2048,20260803,0.3455350584745116,8190
2,8192,4096,2048,20260803,0.20087288471077533,8190
2,16384,4096,2048,20260803,0.11071977068070818,8190
2,32768,4096,2048,20260803,0.0592259519993895,8190
2,65536,4096,2048,20260803,0.030833082932692307,8190
2,131072,4096,2048,20260803,0.016091222145909644,8190
2,262144,4096,2048,20260803,0.007096592643467643,8190
2,524288,4096,2048,20260803,0.0040659102182539686,8190
2,2048,8192,2048,20260803,0.40259453735426076,16382
2,4096,8192,2048,20260803,0.27372041818001464,16382
2,8192,8192,2048,20260803,0.17040801022082164,16382
2,16384,8192,2048,20260803,0.1005876066338054,16382
2,32768,8192,2048,20260803,0.0556052553393206,16382
2,65536,8192,2048,20260803,0.029208559938118057,16382
2,131072,8192,2048,20260803,0.015231889182868392,16382
2,262144,8192,2048,20260803,0.007569819867079722,16382
2,524288,8192,2048,20260803,0.0039023454191338056,16382
2,2048,16384,2048,20260803,0.2757028233820881,32766
2,4096,16384,2048,20260803,0.20030846392315968,32766
2,8192,16384,2048,20260803,0.1350745896327367,32766
2,16384,16384,2048,20260803,0.08647848987422176,32766
2,32768,16384,2048,20260803,0.050848965009461025,32766
2,65536,16384,2048,20260803,0.02789880742900415,32766
2,131072,16384,2048,20260803,0.01486217790068211,32766
2,262144,16384,2048,20260803,0.0073455585153055,32766
2,524288,16384,2048,20260803,0.003643213549296527,32766
2,2048,32768,2048,20260803,0.17759105125774408,65534
2,4096,32768,2048,20260803,0.13722738685739463,65534
2,8192,32768,2048,20260803,0.09949730739720984,65534
2,16384,32768,2048,20260803,0.06914781204937513,65534
2,32768,32768,2048,20260803,0.043033832807683796,65534
2,65536,32768,2048,20260803,0.025418423964564195,65534
2,131072,32768,2048,20260803,0.014075567227031007,65534
2,262144,32768,2048,20260803,0.007237722320188757,65534
2,524288,32768,2048,20260803,0.003594970144314402,65534
4,2048,2,2048,20260803,0.9990234375,4
4,4096,2,2048,20260803,0.475341796875,4
4,8192,2,2048,20260803,0.255615234375,4
4,16384,2,2048,20260803,0.1212158203125,4
4,32768,2,2048,20260803,0.0,4
4,65536,2,2048,20260803,0.0313720703125,4
4,131072,2,2048,20260803,0.0,4
4,262144,2,2048,20260803,0.007568359375,4
4,524288,2,2048,20260803,0.0,4
4,2048,4,2048,20260803,0.99853515625,12
4,4096,4,2048,20260803,0.4672444661458333,12
4,8192,4,2048,20260803,0.2548828125,12
4,16384,4,2048,20260803,0.08076985677083333,12
