H,N,adjacent_overlap,backend,cache_state,case_id,flops,kv_token_bytes,latency_ms,latency_ms_mean,latency_ms_median,latency_ms_p5,latency_ms_p95,latency_ms_std,mem_clock_mhz_after,mem_clock_mhz_before,pairs,pass_count,pass_order,pass_spread_pct,pattern,peak_mem_alloc_bytes,power_w_after,power_w_before,repeat,reuse_factor,seed,segment_mode,selected_kv_working_set_bytes,selected_kv_working_set_vs_l2,skip_reason,sm_clock_mhz_after,sm_clock_mhz_before,status,temp_c_after,temp_c_before,tflops,timestamp,topk,unique_kv,warmup
2048,64,1.0,flashmla_bf16,l2-cold,descending_flashmla_bf16_l2-cold_independent_contiguous_n64_h2048,18253611008,1152,0.07044799998402596,0.07049386550982793,0.07027199864387512,0.06995200365781784,0.0711359977722168,0.0008433258683709345,2619.0,2619.0,131072,2,descending,0.5009145706607043,independent_contiguous,281838592,159.31,159.31,30,64.0,20260810,shared,2359296,0.045,,1980.0,1980.0,ok,42.0,42.0,259.1092003214065,2026-08-10T09:07:14.777483+00:00,2048,2048,10
32768,64,0.75,flashmla_bf16,l2-cold,descending_flashmla_bf16_l2-cold_independent_contiguous_n64_h32768,18253611008,1152,0.0753760002553463,0.07549653326471646,0.0751039981842041,0.07449600100517273,0.08003199845552444,0.0013595527766039537,2619.0,2619.0,131072,2,descending,0.7243344634597637,independent_contiguous,317228032,337.41,376.29,30,4.0,20260810,shared,37748736,0.72,,1980.0,1980.0,ok,45.0,45.0,242.170566865897,2026-08-10T09:07:10.293342+00:00,2048,32768,10
524288,64,0.0,flashmla_bf16,l2-cold,descending_flashmla_bf16_l2-cold_independent_contiguous_n64_h524288,18253611008,1152,0.07980800047516823,0.08006826713681221,0.07968000322580338,0.07820799946784973,0.08217599987983704,0.0013931266856281675,2619.0,2619.0,131072,2,descending,0.32127822335077383,independent_contiguous,883459072,156.82,156.82,30,1.0,20260810,shared,150994944,2.88,,1980.0,1980.0,ok,42.0,42.0,228.7196503079455,2026-08-10T09:07:08.366137+00:00,2048,131072,10
2048,64,1.0,flashmla_bf16,l2-cold,descending_flashmla_bf16_l2-cold_independent_dispersed_n64_h2048,18253611008,1152,0.07043199986219406,0.07039466574788093,0.07017599791288376,0.06995200365781784,0.07145600020885468,0.0006907900972484178,2619.0,2619.0,131072,2,descending,0.7295997404357601,independent_dispersed,281838592,159.43,160.82,30,64.0,20260810,shared,2359296,0.045,,1980.0,1980.0,ok,42.0,42.0,259.1698688289372,2026-08-10T09:07:14.597417+00:00,2048,2048,10
32768,64,0.0,flashmla_bf16,l2-cold,descending_flashmla_bf16_l2-cold_independent_dispersed_n64_h32768,18253611008,1152,0.07400000095367432,0.07389653374751409,0.07372800260782242,0.07311999797821045,0.0745600014925003,0.0008884221683152434,2619.0,2619.0,131072,2,descending,0.7378427089601791,independent_dispersed,317228032,411.48,411.48,30,4.0,20260810,shared,37748736,0.72,,1980.0,1980.0,ok,46.0,46.0,246.6737485157359,2026-08-10T09:07:10.137467+00:00,2048,32768,10
524288,64,0.0,flashmla_bf16,l2-cold,descending_flashmla_bf16_l2-cold_independent_dispersed_n64_h524288,18253611008,1152,0.08340800181031227,0.08355093424518903,0.08342400193214417,0.08211199939250946,0.08460800349712372,0.0011668227333080186,2619.0,2619.0,131072,2,descending,0.03837327683213765,independent_dispersed,883459072,159.45,157.86,30,1.0,20260810,shared,150994944,2.88,,1980.0,1980.0,ok,42.0,41.0,218.84724826785515,2026-08-10T09:07:08.189082+00:00,2048,131072,10
2048,64,0.0,flashmla_bf16,l2-cold,descending_flashmla_bf16_l2-cold_isolated_contiguous_n64_h2048,18253611008,1152,0.07921599969267845,0.07898453399538993,0.0788159966468811,0.07756800204515457,0.0804160013794899,0.0010297480789493911,2619.0,2619.0,131072,2,descending,1.0150301025551478,isolated_contiguous,429425664,179.61,179.61,30,1.0,20260810,isolated,150994944,2.88,,1980.0,1980.0,ok,42.0,42.0,230.43421171911106,2026-08-10T09:07:13.575363+00:00,2048,131072,10
32768,64,0.0,flashmla_bf16,l2-cold,descending_flashmla_bf16_l2-cold_isolated_contiguous_n64_h32768,18253611008,1152,0.07916799932718277,0.0794730673233668,0.0791039988398552,0.07814399898052216,0.0822720006108284,0.001507054323652045,2619.0,2619.0,131072,2,descending,0.16181353222646244,isolated_contiguous,2694349824,159.01,159.01,30,1.0,20260810,isolated,150994944,2.88,,1980.0,1980.0,ok,43.0,43.0,230.56819791414426,2026-08-10T09:07:10.949906+00:00,2048,131072,10
524288,64,0.0,flashmla_bf16,l2-cold,descending_flashmla_bf16_l2-cold_isolated_contiguous_n64_h524288,18253611008,1152,0.07944000139832497,0.07994240075349808,0.07964800298213959,0.07865600287914276,0.08428800106048584,0.0015213166658250648,2619.0,2619.0,131072,2,descending,0.5250443868678678,isolated_contiguous,38933136384,157.51,157.51,30,1.0,20260810,isolated,150994944,2.88,,1980.0,1980.0,ok,42.0,42.0,229.78015898406227,2026-08-10T09:07:08.829554+00:00,2048,131072,10
2048,64,0.0,flashmla_bf16,l2-cold,descending_flashmla_bf16_l2-cold_isolated_dispersed_n64_h2048,18253611008,1152,0.07947199791669846,0.07927466680606206,0.07887999713420868,0.07785599678754807,0.08224000036716461,0.0012022044044556872,2619.0,2619.0,131072,2,descending,1.5010162373168656,isolated_dispersed,429425664,180.81,180.81,30,1.0,20260810,isolated,150994944,2.88,,1980.0,1980.0,ok,42.0,42.0,229.6988176878284,2026-08-10T09:07:13.440269+00:00,2048,131072,10
