case_id,status,skip_reason,pass_order,backend,cache_state,pattern,segment_mode,N,H,topk,warmup,repeat,latency_ms_median,latency_ms_p5,latency_ms_p95,latency_ms_mean,latency_ms_std,tflops,pairs,flops,unique_kv,reuse_factor,adjacent_overlap,selected_kv_working_set_bytes,selected_kv_working_set_vs_l2,kv_token_bytes,peak_mem_alloc_bytes,temp_c_before,power_w_before,sm_clock_mhz_before,mem_clock_mhz_before,temp_c_after,power_w_after,sm_clock_mhz_after,mem_clock_mhz_after,seed,timestamp
ascending_flashmla_bf16_steady_isolated_dispersed_n64_h2048,ok,,ascending,flashmla_bf16,steady,isolated_dispersed,isolated,64,2048,2048,10,30,0.081216000020504,0.07983999699354172,0.08300799876451492,0.08136746659874916,0.001049903106782255,224.7538785878601,131072,18253611008,131072,1.0,0.0,150994944,2.88,1152,429425152,39.0,91.69,1980.0,2619.0,39.0,97.52,1980.0,2619.0,20260810,2026-08-10T09:06:54.351829+00:00
ascending_flashmla_bf16_l2-cold_isolated_dispersed_n64_h2048,ok,,ascending,flashmla_bf16,l2-cold,isolated_dispersed,isolated,64,2048,2048,10,30,0.08006399869918823,0.07894399762153625,0.08611200004816055,0.08128853340943655,0.005661619089296871,227.98775110622938,131072,18253611008,131072,1.0,0.0,150994944,2.88,1152,429425664,39.0,97.52,1980.0,2619.0,40.0,104.53,1980.0,2619.0,20260810,2026-08-10T09:06:54.434254+00:00
ascending_flashmla_bf16_steady_isolated_contiguous_n64_h2048,ok,,ascending,flashmla_bf16,steady,isolated_contiguous,isolated,64,2048,2048,10,30,0.08064000308513641,0.07923199981451035,0.08198399841785431,0.08065279970566432,0.0008376670248733454,226.35925483197943,131072,18253611008,131072,1.0,0.0,150994944,2.88,1152,429425664,40.0,104.53,1980.0,2619.0,40.0,110.82,1980.0,2619.0,20260810,2026-08-10T09:06:54.529182+00:00
ascending_flashmla_bf16_l2-cold_isolated_contiguous_n64_h2048,ok,,ascending,flashmla_bf16,l2-cold,isolated_contiguous,isolated,64,2048,2048,10,30,0.0796160027384758,0.07817599922418594,0.08207999914884567,0.07976213321089745,0.0011524053986646764,229.27062876994486,131072,18253611008,131072,1.0,0.0,150994944,2.88,1152,429425664,40.0,110.82,1980.0,2619.0,40.0,110.82,1980.0,2619.0,20260810,2026-08-10T09:06:54.589173+00:00
ascending_sglang_q8kv8_steady_shared_dispersed_n256_h2048,ok,,ascending,sglang_q8kv8,steady,shared_dispersed,shared,256,2048,2048,10,30,0.11654400080442429,0.11587200313806534,0.1199679970741272,0.11687893296281497,0.001249987679658339,626.496804022779,524288,73014444032,2048,256.0,1.0,1179648,0.0225,576,304350208,40.0,134.54,1980.0,2619.0,40.0,134.54,1980.0,2619.0,20260810,2026-08-10T09:06:54.985461+00:00
ascending_sglang_q8kv8_l2-cold_shared_contiguous_n256_h2048,ok,,ascending,sglang_q8kv8,l2-cold,shared_contiguous,shared,256,2048,2048,10,30,0.11974400281906128,0.11923199892044067,0.12198399752378464,0.12005973334113756,0.0009091874659718325,609.7544955326756,524288,73014444032,2048,256.0,1.0,1179648,0.0225,576,304353792,40.0,134.54,1980.0,2619.0,40.0,134.54,1980.0,2619.0,20260810,2026-08-10T09:06:55.030167+00:00
ascending_sglang_q8kv8_l2-cold_independent_contiguous_n256_h2048,ok,,ascending,sglang_q8kv8,l2-cold,independent_contiguous,shared,256,2048,2048,10,30,0.12057600170373917,0.11952000111341476,0.12272000312805176,0.12082773347695669,0.0010596056292282705,605.5470657535973,524288,73014444032,2048,256.0,1.0,1179648,0.0225,576,304353792,40.0,142.45,1980.0,2619.0,40.0,142.45,1980.0,2619.0,20260810,2026-08-10T09:06:55.073459+00:00
ascending_sglang_q8kv8_steady_shared_contiguous_n256_h2048,ok,,ascending,sglang_q8kv8,steady,shared_contiguous,shared,256,2048,2048,10,30,0.11644800007343292,0.1159679964184761,0.11715199798345566,0.11658133293191592,0.0005659015426874775,627.0132933666235,524288,73014444032,2048,256.0,1.0,1179648,0.0225,576,304353792,40.0,142.45,1980.0,2619.0,40.0,142.45,1980.0,2619.0,20260810,2026-08-10T09:06:55.131450+00:00
ascending_sglang_q8kv8_steady_independent_dispersed_n256_h2048,ok,,ascending,sglang_q8kv8,steady,independent_dispersed,shared,256,2048,2048,10,30,0.11564800143241882,0.11510399729013443,0.11657600104808807,0.11575573359926541,0.0005412629584053771,631.3506772935235,524288,73014444032,2048,256.0,1.0,1179648,0.0225,576,304353792,41.0,152.53,1980.0,2619.0,41.0,152.53,1980.0,2619.0,20260810,2026-08-10T09:06:55.189574+00:00
ascending_sglang_q8kv8_l2-cold_independent_dispersed_n256_h2048,ok,,ascending,sglang_q8kv8,l2-cold,independent_dispersed,shared,256,2048,2048,10,30,0.12035199999809265,0.11907199770212173,0.12198399752378464,0.12048853288094202,0.0009396212863430202,606.674122849285,524288,73014444032,2048,256.0,1.0,1179648,0.0225,576,304353792,41.0,152.53,1980.0,2619.0,41.0,156.75,1980.0,2619.0,20260810,2026-08-10T09:06:55.253622+00:00
