case_id,status,skip_reason,pass_order,pattern,B,H,topk,warmup,repeat,latency_ms_median,latency_ms_p5,latency_ms_p95,latency_ms_mean,latency_ms_std,tflops,pairs,flops,unique_selected_kv,selected_kv_bytes,selected_kv_vs_l2,known_touched_bytes,known_touched_vs_l2,l2_bytes,flush_bytes,setup_alloc_ms,setup_indices_ms,setup_quant_ms,setup_metadata_ms,peak_mem_alloc_bytes,temp_c_before,power_w_before,sm_clock_mhz_before,mem_clock_mhz_before,temp_c_after,power_w_after,sm_clock_mhz_after,mem_clock_mhz_after,seed,timestamp
ascending_shared_b1_h4096,ok,,ascending,shared,1,4096,2048,5,30,0.03379200026392937,0.03324799984693527,0.035679999738931656,0.03395519989232222,0.000651646045117793,8.440242358320672,2048,285212672,2048,1343488,0.025625,1490944,0.0284375,52428800,268435456,30.260838015237823,114.17584199807607,40.190836996771395,1.268111984245479,289627648,39.0,90.76,1980.0,2619.0,40.0,108.12,1980.0,2619.0,20260810,2026-08-10T11:13:42.207970+00:00
ascending_independent_b1_h4096,ok,,ascending,independent,1,4096,2048,5,30,0.03376000002026558,0.03328000009059906,0.03548799827694893,0.033996800209085146,0.0013745254084974294,8.448242648957093,2048,285212672,2048,1343488,0.025625,1490944,0.0284375,52428800,268435456,30.260838015237823,114.17584199807607,40.190836996771395,1.268111984245479,289627648,39.0,90.76,1980.0,2619.0,40.0,108.12,1980.0,2619.0,20260810,2026-08-10T11:13:42.210092+00:00
ascending_shared_b8_h4096,ok,,ascending,shared,8,4096,2048,5,30,0.03657599911093712,0.0360959991812706,0.03779200091958046,0.03672213281194369,0.0004578487992088583,62.382475707074136,16384,2281701376,2048,1343488,0.025625,2523136,0.048125,52428800,268435456,0.7271150243468583,7.003444014117122,1.3690800115000457,0.09345798753201962,384116736,40.0,108.12,1980.0,2619.0,40.0,114.71,1980.0,2619.0,20260810,2026-08-10T11:13:42.312635+00:00
ascending_independent_b8_h4096,ok,,ascending,independent,8,4096,2048,5,30,0.03759999945759773,0.037087999284267426,0.03862399980425835,0.03780799992382526,0.0009037286587816558,60.683548109438675,16384,2281701376,16384,10747904,0.205,11927552,0.2275,52428800,268435456,0.7271150243468583,7.003444014117122,1.3690800115000457,0.09345798753201962,384116736,40.0,108.12,1980.0,2619.0,40.0,114.71,1980.0,2619.0,20260810,2026-08-10T11:13:42.314123+00:00
ascending_shared_b16_h4096,ok,,ascending,shared,16,4096,2048,5,30,0.04390399903059006,0.04368000105023384,0.044863998889923096,0.04418133323391279,0.0007317365989972979,103.94048042913937,32768,4563402752,2048,1343488,0.025625,3702784,0.070625,52428800,268435456,1.4983119908720255,5.18241198733449,1.5003610169515014,0.09844798478297889,501223424,40.0,114.71,1980.0,2619.0,40.0,122.12,1980.0,2619.0,20260810,2026-08-10T11:13:42.410327+00:00
ascending_independent_b16_h4096,ok,,ascending,independent,16,4096,2048,5,30,0.04588799923658371,0.045343998819589615,0.04652800038456917,0.04598933346569538,0.000827684657465515,99.44654000869745,32768,4563402752,32768,21495808,0.41,23855104,0.455,52428800,268435456,1.4983119908720255,5.18241198733449,1.5003610169515014,0.09844798478297889,501223424,40.0,114.71,1980.0,2619.0,40.0,122.12,1980.0,2619.0,20260810,2026-08-10T11:13:42.411715+00:00
ascending_shared_b32_h4096,ok,,ascending,shared,32,4096,2048,5,30,0.05769599974155426,0.05696000158786774,0.0605119988322258,0.05803626663982868,0.0010678759626853958,158.18783875629111,65536,9126805504,2048,1343488,0.025625,6062080,0.115625,52428800,268435456,0.7100630027707666,9.737933985888958,2.448629995342344,0.11780901695601642,731914240,40.0,122.12,1980.0,2619.0,40.0,129.18,1980.0,2619.0,20260810,2026-08-10T11:13:42.496245+00:00
ascending_independent_b32_h4096,ok,,ascending,independent,32,4096,2048,5,30,0.06124800071120262,0.06032000109553337,0.062463998794555664,0.061283200358351074,0.0006888230430828865,149.01393348388356,65536,9126805504,65536,42991616,0.82,47710208,0.91,52428800,268435456,0.7100630027707666,9.737933985888958,2.448629995342344,0.11780901695601642,731914240,40.0,122.12,1980.0,2619.0,40.0,129.18,1980.0,2619.0,20260810,2026-08-10T11:13:42.497618+00:00
ascending_shared_b64_h4096,ok,,ascending,shared,64,4096,2048,5,30,0.08134400099515915,0.0796160027384758,0.08291199803352356,0.08140906641880671,0.0013027177825729371,224.40021125941772,131072,18253611008,2048,1343488,0.025625,10780672,0.205625,52428800,268435456,0.8778409974183887,18.750202987575904,3.6826400028076023,0.1501420047134161,1193885696,40.0,129.18,1980.0,2619.0,42.0,141.55,1980.0,2619.0,20260810,2026-08-10T11:13:42.624477+00:00
ascending_independent_b64_h4096,ok,,ascending,independent,64,4096,2048,5,30,0.08774399757385254,0.08684799820184708,0.09113600105047226,0.08806719978650411,0.0014034926161765532,208.0325892678444,131072,18253611008,131072,85983232,1.64,95420416,1.82,52428800,268435456,0.8778409974183887,18.750202987575904,3.6826400028076023,0.1501420047134161,1193885696,40.0,129.18,1980.0,2619.0,42.0,141.55,1980.0,2619.0,20260810,2026-08-10T11:13:42.626002+00:00
ascending_shared_b16_h8192,ok,,ascending,shared,16,8192,2048,5,30,0.045343998819589615,0.043807998299598694,0.05036799982190132,0.04589333298305671,0.0018006283418943803,100.63961871021637,32768,4563402752,2048,1343488,0.025625,3702784,0.070625,52428800,268435456,13.968098995974287,7.72434999817051,4.491214000154287,0.36438897950574756,730079232,40.0,147.62,1980.0,2619.0,40.0,151.72,1980.0,2619.0,20260810,2026-08-10T11:13:42.856358+00:00
ascending_independent_b16_h8192,ok,,ascending,independent,16,8192,2048,5,30,0.047359999269247055,0.04623999819159508,0.050016000866889954,0.0478517334908247,0.0015285260887104883,96.35563391917574,32768,4563402752,32768,21495808,0.41,23855104,0.455,52428800,268435456,13.968098995974287,7.72434999817051,4.491214000154287,0.36438897950574756,730079232,40.0,147.62,1980.0,2619.0,40.0,151.72,1980.0,2619.0,20260810,2026-08-10T11:13:42.858192+00:00
