case_id,status,skip_reason,pass_order,pattern,B,H,topk,warmup,repeat,latency_ms_median,latency_ms_p5,latency_ms_p95,latency_ms_mean,latency_ms_std,tflops,pairs,flops,unique_selected_kv,selected_kv_bytes,selected_kv_vs_l2,known_touched_bytes,known_touched_vs_l2,l2_bytes,flush_bytes,setup_alloc_ms,setup_indices_ms,setup_quant_ms,setup_metadata_ms,peak_mem_alloc_bytes,temp_c_before,power_w_before,sm_clock_mhz_before,mem_clock_mhz_before,temp_c_after,power_w_after,sm_clock_mhz_after,mem_clock_mhz_after,seed,timestamp
ascending_shared_b128_h4096,ok,,ascending,shared,128,4096,2048,5,30,0.11859200149774551,0.11430399864912033,0.12188799679279327,0.11825386608640352,0.0022683266291906477,307.83882180025455,262144,36507222016,2048,1343488,0.025625,20217856,0.385625,52428800,268435456,30.912822985555977,153.95643599913456,51.78770900238305,1.329232007265091,2120253440,38.0,91.19,1980.0,2619.0,40.0,114.62,1980.0,2619.0,20260810,2026-08-10T11:20:48.043382+00:00
ascending_independent_b128_h4096,ok,,ascending,independent,128,4096,2048,5,30,0.1292479932308197,0.1281599998474121,0.1340160071849823,0.12980906714995702,0.0014912307446405919,282.4587144715119,262144,36507222016,262144,171966464,3.28,190840832,3.64,52428800,268435456,30.912822985555977,153.95643599913456,51.78770900238305,1.329232007265091,2120253440,38.0,91.19,1980.0,2619.0,40.0,114.62,1980.0,2619.0,20260810,2026-08-10T11:20:48.045081+00:00
ascending_shared_b256_h4096,ok,,ascending,shared,256,4096,2048,5,30,0.20585599541664124,0.20294399559497833,0.21001599729061127,0.2061856006582578,0.0022578212226406417,354.68699312945813,524288,73014444032,2048,1343488,0.025625,39092224,0.745625,52428800,268435456,1.1138709960505366,80.2720800274983,13.01525000599213,0.31273000058718026,3970236416,40.0,114.62,1980.0,2619.0,40.0,139.23,1980.0,2619.0,20260810,2026-08-10T11:20:48.236862+00:00
ascending_independent_b256_h4096,ok,,ascending,independent,256,4096,2048,5,30,0.23977600038051605,0.23887999355793,0.2415360063314438,0.23998826692501704,0.0008041927673271899,304.5110599731777,524288,73014444032,524288,343932928,6.56,381681664,7.28,52428800,268435456,1.1138709960505366,80.2720800274983,13.01525000599213,0.31273000058718026,3970236416,40.0,114.62,1980.0,2619.0,40.0,139.23,1980.0,2619.0,20260810,2026-08-10T11:20:48.238125+00:00
ascending_shared_b256_h32768,ok,,ascending,shared,256,32768,2048,5,30,0.2069759964942932,0.20377600193023682,0.21264000236988068,0.20756160120169323,0.0026603543977836365,352.7676893393441,524288,73014444032,2048,1343488,0.025625,39092224,0.745625,52428800,268435456,1.8654819868970662,69.2155169963371,101.20715000084601,0.3080320020671934,8785756160,40.0,139.23,1980.0,2619.0,44.0,181.03,1980.0,2619.0,20260810,2026-08-10T11:20:48.471100+00:00
ascending_independent_b256_h32768,ok,,ascending,independent,256,32768,2048,5,30,0.24102400243282318,0.24009600281715393,0.24303999543190002,0.2413226659099261,0.0009935246376312566,302.9343272662239,524288,73014444032,524288,343932928,6.56,381681664,7.28,52428800,268435456,1.8654819868970662,69.2155169963371,101.20715000084601,0.3080320020671934,8785756160,40.0,139.23,1980.0,2619.0,44.0,181.03,1980.0,2619.0,20260810,2026-08-10T11:20:48.472373+00:00
ascending_shared_b128_h32768,ok,,ascending,shared,128,32768,2048,5,30,0.11823999881744385,0.11366400122642517,0.12095999717712402,0.11826666742563248,0.002173364562793608,308.7552637104232,262144,36507222016,2048,1343488,0.025625,20217856,0.385625,52428800,268435456,3.717657004017383,34.91433602175675,50.80623101093806,0.2023109991569072,6020399104,44.0,181.03,1980.0,2619.0,46.0,234.93,1980.0,2619.0,20260810,2026-08-10T11:20:48.622461+00:00
ascending_independent_b128_h32768,ok,,ascending,independent,128,32768,2048,5,30,0.12912000715732574,0.1281599998474121,0.1311360001564026,0.1294325326879819,0.0010551469095997617,282.73869262970163,262144,36507222016,262144,171966464,3.28,190840832,3.64,52428800,268435456,3.717657004017383,34.91433602175675,50.80623101093806,0.2023109991569072,6020399104,44.0,181.03,1980.0,2619.0,46.0,234.93,1980.0,2619.0,20260810,2026-08-10T11:20:48.623617+00:00
ascending_shared_b256_h262144,ok,,ascending,shared,256,262144,2048,5,30,0.21110400557518005,0.208639994263649,0.21404799818992615,0.21117866684993108,0.0017859197635933736,345.8695339913742,524288,73014444032,2048,1343488,0.025625,39092224,0.745625,52428800,268435456,4.9341359990648925,69.67856301344,810.1599230139982,0.3186830144841224,47309914112,46.0,234.93,1980.0,2619.0,52.0,463.86,1980.0,2619.0,20260810,2026-08-10T11:20:49.569446+00:00
ascending_independent_b256_h262144,ok,,ascending,independent,256,262144,2048,5,30,0.24268800020217896,0.24115200340747833,0.24422399699687958,0.2426613340775172,0.0009419863738239338,300.857248694509,524288,73014444032,524288,343932928,6.56,381681664,7.28,52428800,268435456,4.9341359990648925,69.67856301344,810.1599230139982,0.3186830144841224,47309914112,46.0,234.93,1980.0,2619.0,52.0,463.86,1980.0,2619.0,20260810,2026-08-10T11:20:49.570835+00:00
ascending_shared_b128_h262144,ok,,ascending,shared,128,262144,2048,5,30,0.11849600076675415,0.1154559999704361,0.12236800044775009,0.11874133323629697,0.00210483399212531,308.0882205287274,262144,36507222016,2048,1343488,0.025625,20217856,0.385625,52428800,268435456,6.3365710084326565,35.41680998750962,408.25771499658003,0.22502700448967516,25281429504,52.0,463.86,1980.0,2619.0,51.0,476.22,1980.0,2619.0,20260810,2026-08-10T11:20:50.128566+00:00
ascending_independent_b128_h262144,ok,,ascending,independent,128,262144,2048,5,30,0.13036799430847168,0.12950399518013,0.13158400356769562,0.13057173490524293,0.0010896133106715322,280.0320907723565,262144,36507222016,262144,171966464,3.28,190840832,3.64,52428800,268435456,6.3365710084326565,35.41680998750962,408.25771499658003,0.22502700448967516,25281429504,52.0,463.86,1980.0,2619.0,51.0,476.22,1980.0,2619.0,20260810,2026-08-10T11:20:50.130408+00:00
descending_shared_b256_h262144,ok,,descending,shared,256,262144,2048,5,30,0.21055999398231506,0.2062080055475235,0.21462400257587433,0.21053866744041444,0.0029184903314301625,346.7631369619648,524288,73014444032,2048,1343488,0.025625,39092224,0.745625,52428800,268435456,8.34770200890489,82.4021129810717,807.3499060119502,0.3440010186750442,47309914112,51.0,476.22,1980.0,2619.0,53.0,460.29,1980.0,2619.0,20260810,2026-08-10T11:20:51.185753+00:00
descending_independent_b256_h262144,ok,,descending,independent,256,262144,2048,5,30,0.24201600253582,0.24111999571323395,0.24425600469112396,0.24229119966427484,0.0010564721251878396,301.69262886322304,524288,73014444032,524288,343932928,6.56,381681664,7.28,52428800,268435456,8.34770200890489,82.4021129810717,807.3499060119502,0.3440010186750442,47309914112,51.0,476.22,1980.0,2619.0,53.0,460.29,1980.0,2619.0,20260810,2026-08-10T11:20:51.187330+00:00
descending_shared_b128_h262144,ok,,descending,shared,128,262144,2048,5,30,0.11945600062608719,0.11619199812412262,0.12272000312805176,0.11935040007034937,0.002135276169994276,305.61229092435764,262144,36507222016,2048,1343488,0.025625,20217856,0.385625,52428800,268435456,5.546945991227403,35.31170601490885,409.2596829868853,0.20510100875981152,25281429504,49.0,460.25,1980.0,2619.0,53.0,455.43,1980.0,2619.0,20260810,2026-08-10T11:20:51.748762+00:00
descending_independent_b128_h262144,ok,,descending,independent,128,262144,2048,5,30,0.1303360015153885,0.1297599971294403,0.13247999548912048,0.13061973303556443,0.0007235930039155836,280.1008285626261,262144,36507222016,262144,171966464,3.28,190840832,3.64,52428800,268435456,5.546945991227403,35.31170601490885,409.2596829868853,0.20510100875981152,25281429504,49.0,460.25,1980.0,2619.0,53.0,455.43,1980.0,2619.0,20260810,2026-08-10T11:20:51.750608+00:00
descending_shared_b128_h32768,ok,,descending,shared,128,32768,2048,5,30,0.11689600348472595,0.11340799927711487,0.12137600034475327,0.11757760097583135,0.0026217895691552436,312.3051338600311,262144,36507222016,2048,1343488,0.025625,20217856,0.385625,52428800,268435456,3.1912609993014485,35.232155001722276,54.27113099722192,0.1946600095834583,6020399104,53.0,455.43,1980.0,2619.0,50.0,410.7,1980.0,2619.0,20260810,2026-08-10T11:20:51.986892+00:00
