case_id,status,skip_reason,pass_order,pattern,B,H,topk,warmup,repeat,latency_ms_median,latency_ms_p5,latency_ms_p95,latency_ms_mean,latency_ms_std,tflops,pairs,flops,unique_selected_kv,selected_kv_bytes,selected_kv_vs_l2,known_touched_bytes,known_touched_vs_l2,l2_bytes,flush_bytes,setup_alloc_ms,setup_indices_ms,setup_quant_ms,setup_metadata_ms,peak_mem_alloc_bytes,temp_c_before,power_w_before,sm_clock_mhz_before,mem_clock_mhz_before,temp_c_after,power_w_after,sm_clock_mhz_after,mem_clock_mhz_after,seed,timestamp
ascending_shared_b64_h65536,ok,,ascending,shared,64,65536,2048,5,50,0.08211199939250946,0.0804160013794899,0.08908800035715103,0.082710400223732,0.0024124281818323776,222.3013827826138,131072,18253611008,2048,1343488,0.025625,10780672,0.205625,52428800,268435456,31.370552984299138,139.99976799823344,88.39215399348177,1.3756100088357925,6012010496,39.0,89.95,1980.0,2619.0,42.0,111.9,1980.0,2619.0,20260810,2026-08-10T11:16:20.979524+00:00
ascending_independent_b64_h65536,ok,,ascending,independent,64,65536,2048,5,50,0.08876799792051315,0.08787199854850769,0.08985599875450134,0.08891264006495475,0.0008848496760126737,205.632789243992,131072,18253611008,131072,85983232,1.64,95420416,1.82,52428800,268435456,31.370552984299138,139.99976799823344,88.39215399348177,1.3756100088357925,6012010496,39.0,89.95,1980.0,2619.0,42.0,111.9,1980.0,2619.0,20260810,2026-08-10T11:16:20.981261+00:00
ascending_shared_b1_h65536,ok,,ascending,shared,1,65536,2048,5,50,0.03433600068092346,0.033984001725912094,0.03561599925160408,0.0345023999363184,0.0007049885483106942,8.306519872550552,2048,285212672,2048,1343488,0.025625,1490944,0.0284375,52428800,268435456,1.402741007041186,0.7446840172633529,1.521627011243254,0.08115801028907299,499503104,42.0,135.75,1980.0,2619.0,41.0,144.3,1980.0,2619.0,20260810,2026-08-10T11:16:21.091769+00:00
ascending_independent_b1_h65536,ok,,ascending,independent,1,65536,2048,5,50,0.03440000116825104,0.03376000002026558,0.03587200120091438,0.0345855999737978,0.0008896463602361991,8.291065764940518,2048,285212672,2048,1343488,0.025625,1490944,0.0284375,52428800,268435456,1.402741007041186,0.7446840172633529,1.521627011243254,0.08115801028907299,499503104,42.0,135.75,1980.0,2619.0,41.0,144.3,1980.0,2619.0,20260810,2026-08-10T11:16:21.093056+00:00
ascending_shared_b64_h262144,ok,,ascending,shared,64,262144,2048,5,50,0.08294399827718735,0.08185599744319916,0.08723200112581253,0.08421312019228935,0.00580109999017164,220.07151074389927,131072,18253611008,2048,1343488,0.025625,10780672,0.205625,52428800,268435456,2.621635008836165,17.8958959877491,203.03696501650847,0.3053880063816905,14267187200,41.0,144.3,1980.0,2619.0,47.0,241.07,1980.0,2619.0,20260810,2026-08-10T11:16:21.438431+00:00
ascending_independent_b64_h262144,ok,,ascending,independent,64,262144,2048,5,50,0.08902399986982346,0.08835200220346451,0.0926079973578453,0.08952704012393951,0.0018538697781809933,205.0414611193789,131072,18253611008,131072,85983232,1.64,95420416,1.82,52428800,268435456,2.621635008836165,17.8958959877491,203.03696501650847,0.3053880063816905,14267187200,41.0,144.3,1980.0,2619.0,47.0,241.07,1980.0,2619.0,20260810,2026-08-10T11:16:21.440097+00:00
ascending_shared_b1_h262144,ok,,ascending,shared,1,262144,2048,5,50,0.03452799841761589,0.03404799848794937,0.03497600182890892,0.0345907199382782,0.0006116255700825821,8.260330313687888,2048,285212672,2048,1343488,0.025625,1490944,0.0284375,52428800,268435456,12.090972013538703,0.8214289846364409,3.802312014158815,0.08275100844912231,1186660352,47.0,241.07,1980.0,2619.0,43.0,245.78,1980.0,2619.0,20260810,2026-08-10T11:16:21.573174+00:00
ascending_independent_b1_h262144,ok,,ascending,independent,1,262144,2048,5,50,0.034591998904943466,0.034143999218940735,0.03532800078392029,0.03463744007050991,0.00041318874719510287,8.245047439546516,2048,285212672,2048,1343488,0.025625,1490944,0.0284375,52428800,268435456,12.090972013538703,0.8214289846364409,3.802312014158815,0.08275100844912231,1186660352,47.0,241.07,1980.0,2619.0,43.0,245.78,1980.0,2619.0,20260810,2026-08-10T11:16:21.574593+00:00
ascending_shared_b1_h524288,ok,,ascending,shared,1,524288,2048,5,50,0.03465599939227104,0.03411199897527695,0.03619199991226196,0.03488063976168632,0.000841727529563175,8.229821012277833,2048,285212672,2048,1343488,0.025625,1490944,0.0284375,52428800,268435456,0.6775410147383809,0.7308030035346746,6.825058982940391,0.08000500383786857,2105688064,42.0,253.27,1980.0,2619.0,42.0,258.31,1980.0,2619.0,20260810,2026-08-10T11:16:21.716459+00:00
ascending_independent_b1_h524288,ok,,ascending,independent,1,524288,2048,5,50,0.03471999987959862,0.03433600068092346,0.03590400144457817,0.03494783997535705,0.0008516241751810812,8.214650719730855,2048,285212672,2048,1343488,0.025625,1490944,0.0284375,52428800,268435456,0.6775410147383809,0.7308030035346746,6.825058982940391,0.08000500383786857,2105688064,42.0,253.27,1980.0,2619.0,42.0,258.31,1980.0,2619.0,20260810,2026-08-10T11:16:21.717875+00:00
ascending_shared_b64_h524288,ok,,ascending,shared,64,524288,2048,5,50,0.08224000036716461,0.08118399977684021,0.08828800171613693,0.08279040023684502,0.0021817619584904536,221.95538577949702,131072,18253611008,2048,1343488,0.025625,10780672,0.205625,52428800,268435456,2.630108006997034,19.28912301082164,404.60358999553137,0.39230400579981506,25274089472,42.0,258.31,1980.0,2619.0,50.0,374.81,1980.0,2619.0,20260810,2026-08-10T11:16:22.235214+00:00
ascending_independent_b64_h524288,ok,,ascending,independent,64,524288,2048,5,50,0.088639996945858,0.08787199854850769,0.09625600278377533,0.08921536028385163,0.002034762201560705,205.9297341712393,131072,18253611008,131072,85983232,1.64,95420416,1.82,52428800,268435456,2.630108006997034,19.28912301082164,404.60358999553137,0.39230400579981506,25274089472,42.0,258.31,1980.0,2619.0,50.0,374.81,1980.0,2619.0,20260810,2026-08-10T11:16:22.236794+00:00
descending_shared_b64_h524288,ok,,descending,shared,64,524288,2048,5,50,0.0817599967122078,0.08070400357246399,0.08287999778985977,0.08189120054244996,0.000910943453834437,223.25846064123564,131072,18253611008,2048,1343488,0.025625,10780672,0.205625,52428800,268435456,6.144170009065419,18.398413027171046,409.65186202083714,0.2833259932231158,25274089472,50.0,374.81,1980.0,2619.0,52.0,452.9,1980.0,2619.0,20260810,2026-08-10T11:16:22.744501+00:00
descending_independent_b64_h524288,ok,,descending,independent,64,524288,2048,5,50,0.08867199718952179,0.0880960002541542,0.09001599997282028,0.0888102400302887,0.000563870162704459,205.85541756757675,131072,18253611008,131072,85983232,1.64,95420416,1.82,52428800,268435456,6.144170009065419,18.398413027171046,409.65186202083714,0.2833259932231158,25274089472,50.0,374.81,1980.0,2619.0,52.0,452.9,1980.0,2619.0,20260810,2026-08-10T11:16:22.746022+00:00
descending_shared_b1_h524288,ok,,descending,shared,1,524288,2048,5,50,0.0342399999499321,0.03385600075125694,0.03494400158524513,0.034334080070257185,0.0005986105751222981,8.329809357974769,2048,285212672,2048,1343488,0.025625,1490944,0.0284375,52428800,268435456,4.248232988175005,0.9239990031346679,6.809995014918968,0.08217000868171453,2105688064,48.0,462.95,1980.0,2619.0,48.0,462.95,1980.0,2619.0,20260810,2026-08-10T11:16:22.877626+00:00
descending_independent_b1_h524288,ok,,descending,independent,1,524288,2048,5,50,0.0342399999499321,0.033824000507593155,0.03596799820661545,0.03440255977213383,0.0005301517081384812,8.329809357974769,2048,285212672,2048,1343488,0.025625,1490944,0.0284375,52428800,268435456,4.248232988175005,0.9239990031346679,6.809995014918968,0.08217000868171453,2105688064,48.0,462.95,1980.0,2619.0,48.0,462.95,1980.0,2619.0,20260810,2026-08-10T11:16:22.879208+00:00
descending_shared_b64_h262144,ok,,descending,shared,64,262144,2048,5,50,0.08230400085449219,0.08089599758386612,0.08380799740552902,0.08240447998046875,0.0008939180843683014,221.78279085449475,131072,18253611008,2048,1343488,0.025625,10780672,0.205625,52428800,268435456,1.8728430150076747,19.342652027262375,202.37078101490624,0.26777302264235914,14267187200,46.0,434.23,1980.0,2619.0,50.0,407.79,1980.0,2619.0,20260810,2026-08-10T11:16:23.221963+00:00
descending_independent_b64_h262144,ok,,descending,independent,64,262144,2048,5,50,0.08851200342178345,0.08767999708652496,0.0899839997291565,0.08869375988841056,0.0008483187588185267,206.22752058855394,131072,18253611008,131072,85983232,1.64,95420416,1.82,52428800,268435456,1.8728430150076747,19.342652027262375,202.37078101490624,0.26777302264235914,14267187200,46.0,434.23,1980.0,2619.0,50.0,407.79,1980.0,2619.0,20260810,2026-08-10T11:16:23.223444+00:00
descending_shared_b1_h262144,ok,,descending,shared,1,262144,2048,5,50,0.03404799848794937,0.033695999532938004,0.03481600061058998,0.0341542398929596,0.0006469838091363703,8.376782326894942,2048,285212672,2048,1343488,0.025625,1490944,0.0284375,52428800,268435456,2.9192829970270395,0.6229050050023943,3.7920209870208055,0.07949399878270924,1186660352,50.0,407.79,1980.0,2619.0,46.0,395.96,1980.0,2619.0,20260810,2026-08-10T11:16:23.328048+00:00
