Q,H,B,kind,role,backend,status,skip_reason,figure2_hardware_tflops,figure2_latency_us
1,2048,1,decode,dense,flashmla_dense_bf16,ok,,28.11639116719235,10.144000000000029
1,2048,2,decode,dense,flashmla_dense_bf16,ok,,53.74019916152428,10.61450000000001
1,2048,4,decode,dense,flashmla_dense_bf16,ok,,90.48410079074901,12.608299999999991
1,2048,8,decode,dense,flashmla_dense_bf16,ok,,136.12832913718424,16.761400000000002
1,2048,16,decode,dense,flashmla_dense_bf16,ok,,190.54907999181543,23.948700000000052
1,2048,32,decode,dense,flashmla_dense_bf16,ok,,231.88375595156438,39.35939999999999
1,2048,64,decode,dense,flashmla_dense_bf16,ok,,256.33385911869493,71.2103
1,2048,128,decode,dense,flashmla_dense_bf16,ok,,291.44899746210115,125.26110000000003
1,2048,256,decode,dense,flashmla_dense_bf16,ok,,296.3626210158274,246.36860000000007
1,2048,1,decode,sparse,flashmla_sparse_fp8,ok,,16.158076526507845,17.651399999999967
1,2048,2,decode,sparse,flashmla_sparse_fp8,ok,,30.79285620202326,18.5246
1,2048,4,decode,sparse,flashmla_sparse_fp8,ok,,66.68794538004232,17.10730000000003
1,2048,8,decode,sparse,flashmla_sparse_fp8,ok,,116.96833834008298,19.507000000000012
1,2048,16,decode,sparse,flashmla_sparse_fp8,ok,,149.92206422786936,30.438499999999994
1,2048,32,decode,sparse,flashmla_sparse_fp8,ok,,175.13121216714868,52.114099999999986
1,2048,64,decode,sparse,flashmla_sparse_fp8,ok,,222.61098478251859,81.99779999999998
1,2048,128,decode,sparse,flashmla_sparse_fp8,ok,,303.3426064355736,120.3498
1,2048,256,decode,sparse,flashmla_sparse_fp8,ok,,339.20133438635276,215.25400000000008
1,4096,1,decode,dense,flashmla_dense_bf16,ok,,52.81569437886011,10.800299999999947
1,4096,2,decode,dense,flashmla_dense_bf16,ok,,93.59674198047429,12.188999999999988
1,4096,4,decode,dense,flashmla_dense_bf16,ok,,149.07527104281417,15.305699999999996
1,4096,8,decode,dense,flashmla_dense_bf16,ok,,197.78707593087822,23.072299999999995
1,4096,16,decode,dense,flashmla_dense_bf16,ok,,254.10752828040125,35.917100000000005
1,4096,32,decode,dense,flashmla_dense_bf16,ok,,265.78000110659093,68.6794
1,4096,64,decode,dense,flashmla_dense_bf16,ok,,281.9131864946282,129.49809999999997
1,4096,128,decode,dense,flashmla_dense_bf16,ok,,354.9382020832209,205.71030000000002
1,4096,256,decode,dense,flashmla_dense_bf16,ok,,354.31452262408743,412.14480000000003
1,4096,1,decode,sparse,flashmla_sparse_fp8,ok,,16.47770939973423,17.309000000000015
1,4096,2,decode,sparse,flashmla_sparse_fp8,ok,,30.807823889044965,18.51559999999997
1,4096,4,decode,sparse,flashmla_sparse_fp8,ok,,66.90107712516424,17.05279999999999
1,4096,8,decode,sparse,flashmla_sparse_fp8,ok,,116.54653154625706,19.577599999999983
