B,Q,kind,H,role,backend,status,skip_reason,figure2_hardware_tflops,effective_e2e_tflops,figure2_latency_us,latency_ms_median
1,1,decode,2048,dense,flashmla_dense_bf16,ok,,28.11639116719235,8.207086527059587,10.144000000000029,0.034752000123262405
1,1,decode,4096,dense,flashmla_dense_bf16,ok,,52.81569437886011,13.412936127633666,10.800299999999947,0.042527999728918076
1,1,decode,8192,dense,flashmla_dense_bf16,ok,,91.50817248459926,25.890765285846847,12.467200000000048,0.044064000248909
1,1,decode,16384,dense,flashmla_dense_bf16,ok,,153.30511684158162,37.059858975445174,14.883400000000028,0.0615679994225502
1,1,decode,32768,dense,flashmla_dense_bf16,ok,,194.97388409413355,66.54518650868525,23.405199999999923,0.06857600063085556
1,1,decode,65536,dense,flashmla_dense_bf16,ok,,255.92881690338297,112.3326786422475,35.66150000000003,0.08124800026416779
1,1,decode,131072,dense,flashmla_dense_bf16,ok,,300.0955349357182,171.65975232435125,60.82600000000002,0.10633599758148193
1,1,decode,262144,dense,flashmla_dense_bf16,ok,,325.68690298234515,236.543779332127,112.09299999999996,0.15433600544929504
1,1,decode,524288,dense,flashmla_dense_bf16,ok,,343.7484712433607,284.2533045636486,212.40659999999997,0.2568640112876892
1,1,decode,2048,sparse,flashmla_sparse_fp8,ok,,16.158076526507845,8.789837937627846,17.651399999999967,0.03244800120592117
1,1,decode,4096,sparse,flashmla_sparse_fp8,ok,,16.47770939973423,8.561859664327823,17.309000000000015,0.03331200033426285
1,1,decode,8192,sparse,flashmla_sparse_fp8,ok,,16.356751276022198,8.7553010045566,17.437000000000058,0.032575998455286026
1,1,decode,16384,sparse,flashmla_sparse_fp8,ok,,16.37797868430724,8.661706212459702,17.4144,0.03292800113558769
1,1,decode,32768,sparse,flashmla_sparse_fp8,ok,,16.530139039416706,8.594885411767672,17.25410000000001,0.0331839993596077
1,1,decode,65536,sparse,flashmla_sparse_fp8,ok,,16.49009435707677,8.687033031349243,17.296000000000014,0.03283200040459633
1,1,decode,131072,sparse,flashmla_sparse_fp8,ok,,16.609557175801918,8.670132060642691,17.17159999999999,0.032896000891923904
1,1,decode,262144,sparse,flashmla_sparse_fp8,ok,,16.42315216076928,8.763910019456176,17.36650000000002,0.03254399821162224
1,1,decode,524288,sparse,flashmla_sparse_fp8,ok,,16.50803787650778,8.69550825001859,17.277199999999986,0.03280000016093254
2,1,decode,2048,dense,flashmla_dense_bf16,ok,,53.74019916152428,15.83107695038545,10.61450000000001,0.036031998693943024
2,1,decode,4096,dense,flashmla_dense_bf16,ok,,93.59674198047429,30.549771055979082,12.188999999999988,0.03734400123357773
2,1,decode,8192,dense,flashmla_dense_bf16,ok,,146.08217884284082,52.934793879405085,15.619300000000113,0.04310400038957596
2,1,decode,16384,dense,flashmla_dense_bf16,ok,,197.18796460176995,81.8635686365076,23.1424,0.055743999779224396
2,1,decode,32768,dense,flashmla_dense_bf16,ok,,255.911594189082,132.7805699846595,35.6639,0.0687360018491745
2,1,decode,65536,dense,flashmla_dense_bf16,ok,,298.3362018282349,195.0172169143109,61.1847,0.09359999746084213
2,1,decode,131072,dense,flashmla_dense_bf16,ok,,325.4633325844699,253.24099188742076,112.17000000000003,0.14416000247001648
2,1,decode,262144,dense,flashmla_dense_bf16,ok,,344.70237784370414,300.6194150680199,211.8188,0.24288000166416168
2,1,decode,524288,dense,flashmla_dense_bf16,ok,,350.9313535364118,330.2267048095644,416.11810000000014,0.4422079920768738
2,1,decode,2048,sparse,flashmla_sparse_fp8,ok,,30.79285620202326,16.864514411059837,18.5246,0.033824000507593155
2,1,decode,4096,sparse,flashmla_sparse_fp8,ok,,30.807823889044965,16.848574295321114,18.51559999999997,0.03385600075125694
2,1,decode,8192,sparse,flashmla_sparse_fp8,ok,,30.8079902784155,16.78511402514032,18.51549999999993,0.033984001725912094
2,1,decode,16384,sparse,flashmla_sparse_fp8,ok,,30.85665298085608,16.737833486797175,18.48630000000001,0.03407999873161316
2,1,decode,32768,sparse,flashmla_sparse_fp8,ok,,30.88304832029453,16.690816741853038,18.470499999999998,0.03417599946260452
2,1,decode,65536,sparse,flashmla_sparse_fp8,ok,,30.841137567854,16.690816741853038,18.495599999999985,0.03417599946260452
2,1,decode,131072,sparse,flashmla_sparse_fp8,ok,,30.829469588057883,16.769325418689625,18.502600000000008,0.034015998244285583
