case_id,kind,backend,cache_state,figure2_hardware_tflops,observed_utilization_vs_platform_max
decode_b128_h32768_dense_l2-cold,decode,flashmla_dense_bf16,l2-cold,365.372,0.9772
decode_b128_h65536_dense_l2-cold,decode,flashmla_dense_bf16,l2-cold,373.908,1.0000
decode_b1_h32768_dense_l2-cold,decode,flashmla_dense_bf16,l2-cold,58.904,0.1575
decode_b1_h65536_dense_l2-cold,decode,flashmla_dense_bf16,l2-cold,99.481,0.2661
decode_b32_h32768_dense_l2-cold,decode,flashmla_dense_bf16,l2-cold,346.816,0.9275
decode_b32_h65536_dense_l2-cold,decode,flashmla_dense_bf16,l2-cold,365.438,0.9773
decode_b128_h131072_dense_steady,decode,flashmla_dense_bf16,steady,368.476,0.9615
decode_b128_h16384_dense_steady,decode,flashmla_dense_bf16,steady,348.657,0.9098
decode_b128_h2048_dense_steady,decode,flashmla_dense_bf16,steady,291.449,0.7605
decode_b128_h262144_dense_steady,decode,flashmla_dense_bf16,steady,380.936,0.9940
decode_b128_h32768_dense_steady,decode,flashmla_dense_bf16,steady,359.398,0.9378
decode_b128_h4096_dense_steady,decode,flashmla_dense_bf16,steady,354.938,0.9262
decode_b128_h524288_dense_steady,decode,flashmla_dense_bf16,steady,383.239,1.0000
decode_b128_h65536_dense_steady,decode,flashmla_dense_bf16,steady,362.425,0.9457
decode_b128_h8192_dense_steady,decode,flashmla_dense_bf16,steady,365.381,0.9534
decode_b16_h131072_dense_steady,decode,flashmla_dense_bf16,steady,361.658,0.9437
decode_b16_h16384_dense_steady,decode,flashmla_dense_bf16,steady,323.329,0.8437
decode_b16_h2048_dense_steady,decode,flashmla_dense_bf16,steady,190.549,0.4972
decode_b16_h262144_dense_steady,decode,flashmla_dense_bf16,steady,365.645,0.9541
decode_b16_h32768_dense_steady,decode,flashmla_dense_bf16,steady,337.658,0.8811
decode_b16_h4096_dense_steady,decode,flashmla_dense_bf16,steady,254.108,0.6631
decode_b16_h524288_dense_steady,decode,flashmla_dense_bf16,steady,366.519,0.9564
decode_b16_h65536_dense_steady,decode,flashmla_dense_bf16,steady,348.158,0.9085
decode_b16_h8192_dense_steady,decode,flashmla_dense_bf16,steady,296.492,0.7736
decode_b1_h131072_dense_steady,decode,flashmla_dense_bf16,steady,300.096,0.7831
decode_b1_h16384_dense_steady,decode,flashmla_dense_bf16,steady,153.305,0.4000
decode_b1_h2048_dense_steady,decode,flashmla_dense_bf16,steady,28.116,0.0734
decode_b1_h262144_dense_steady,decode,flashmla_dense_bf16,steady,325.687,0.8498
decode_b1_h32768_dense_steady,decode,flashmla_dense_bf16,steady,194.974,0.5088
decode_b1_h4096_dense_steady,decode,flashmla_dense_bf16,steady,52.816,0.1378
decode_b1_h524288_dense_steady,decode,flashmla_dense_bf16,steady,343.748,0.8970
decode_b1_h65536_dense_steady,decode,flashmla_dense_bf16,steady,255.929,0.6678
decode_b1_h8192_dense_steady,decode,flashmla_dense_bf16,steady,91.508,0.2388
decode_b256_h131072_dense_steady,decode,flashmla_dense_bf16,steady,379.592,0.9905
decode_b256_h16384_dense_steady,decode,flashmla_dense_bf16,steady,358.526,0.9355
decode_b256_h2048_dense_steady,decode,flashmla_dense_bf16,steady,296.363,0.7733
decode_b256_h262144_dense_steady,decode,flashmla_dense_bf16,steady,382.450,0.9979
decode_b256_h32768_dense_steady,decode,flashmla_dense_bf16,steady,361.028,0.9420
decode_b256_h4096_dense_steady,decode,flashmla_dense_bf16,steady,354.315,0.9245
decode_b256_h65536_dense_steady,decode,flashmla_dense_bf16,steady,364.583,0.9513
decode_b256_h8192_dense_steady,decode,flashmla_dense_bf16,steady,345.216,0.9008
decode_b2_h131072_dense_steady,decode,flashmla_dense_bf16,steady,325.463,0.8492
decode_b2_h16384_dense_steady,decode,flashmla_dense_bf16,steady,197.188,0.5145
decode_b2_h2048_dense_steady,decode,flashmla_dense_bf16,steady,53.740,0.1402
decode_b2_h262144_dense_steady,decode,flashmla_dense_bf16,steady,344.702,0.8994
decode_b2_h32768_dense_steady,decode,flashmla_dense_bf16,steady,255.912,0.6678
decode_b2_h4096_dense_steady,decode,flashmla_dense_bf16,steady,93.597,0.2442
decode_b2_h524288_dense_steady,decode,flashmla_dense_bf16,steady,350.931,0.9157
decode_b2_h65536_dense_steady,decode,flashmla_dense_bf16,steady,298.336,0.7785
decode_b2_h8192_dense_steady,decode,flashmla_dense_bf16,steady,146.082,0.3812
decode_b32_h131072_dense_steady,decode,flashmla_dense_bf16,steady,367.198,0.9581
decode_b32_h16384_dense_steady,decode,flashmla_dense_bf16,steady,337.169,0.8798
decode_b32_h2048_dense_steady,decode,flashmla_dense_bf16,steady,231.884,0.6051
decode_b32_h262144_dense_steady,decode,flashmla_dense_bf16,steady,369.038,0.9629
decode_b32_h32768_dense_steady,decode,flashmla_dense_bf16,steady,347.217,0.9060
decode_b32_h4096_dense_steady,decode,flashmla_dense_bf16,steady,265.780,0.6935
decode_b32_h524288_dense_steady,decode,flashmla_dense_bf16,steady,371.962,0.9706
decode_b32_h65536_dense_steady,decode,flashmla_dense_bf16,steady,358.059,0.9343
decode_b32_h8192_dense_steady,decode,flashmla_dense_bf16,steady,321.584,0.8391
decode_b4_h131072_dense_steady,decode,flashmla_dense_bf16,steady,340.122,0.8875
decode_b4_h16384_dense_steady,decode,flashmla_dense_bf16,steady,254.357,0.6637
decode_b4_h2048_dense_steady,decode,flashmla_dense_bf16,steady,90.484,0.2361
decode_b4_h262144_dense_steady,decode,flashmla_dense_bf16,steady,351.487,0.9171
decode_b4_h32768_dense_steady,decode,flashmla_dense_bf16,steady,297.824,0.7771
decode_b4_h4096_dense_steady,decode,flashmla_dense_bf16,steady,149.075,0.3890
decode_b4_h524288_dense_steady,decode,flashmla_dense_bf16,steady,361.886,0.9443
decode_b4_h65536_dense_steady,decode,flashmla_dense_bf16,steady,326.628,0.8523
decode_b4_h8192_dense_steady,decode,flashmla_dense_bf16,steady,205.335,0.5358
decode_b64_h131072_dense_steady,decode,flashmla_dense_bf16,steady,366.715,0.9569
decode_b64_h16384_dense_steady,decode,flashmla_dense_bf16,steady,342.267,0.8931
decode_b64_h2048_dense_steady,decode,flashmla_dense_bf16,steady,256.334,0.6689
decode_b64_h262144_dense_steady,decode,flashmla_dense_bf16,steady,369.692,0.9647
decode_b64_h32768_dense_steady,decode,flashmla_dense_bf16,steady,354.719,0.9256
decode_b64_h4096_dense_steady,decode,flashmla_dense_bf16,steady,281.913,0.7356
decode_b64_h524288_dense_steady,decode,flashmla_dense_bf16,steady,382.361,0.9977
decode_b64_h65536_dense_steady,decode,flashmla_dense_bf16,steady,365.683,0.9542
decode_b64_h8192_dense_steady,decode,flashmla_dense_bf16,steady,297.293,0.7757
decode_b8_h131072_dense_steady,decode,flashmla_dense_bf16,steady,350.597,0.9148
decode_b8_h16384_dense_steady,decode,flashmla_dense_bf16,steady,301.523,0.7868
decode_b8_h2048_dense_steady,decode,flashmla_dense_bf16,steady,136.128,0.3552
decode_b8_h262144_dense_steady,decode,flashmla_dense_bf16,steady,362.196,0.9451
decode_b8_h32768_dense_steady,decode,flashmla_dense_bf16,steady,326.000,0.8506
decode_b8_h4096_dense_steady,decode,flashmla_dense_bf16,steady,197.787,0.5161
decode_b8_h524288_dense_steady,decode,flashmla_dense_bf16,steady,366.967,0.9575
decode_b8_h65536_dense_steady,decode,flashmla_dense_bf16,steady,338.220,0.8825
decode_b8_h8192_dense_steady,decode,flashmla_dense_bf16,steady,258.558,0.6747
decode_b128_h32768_sparse_l2-cold,decode,flashmla_sparse_fp8,l2-cold,281.831,1.0000
decode_b128_h65536_sparse_l2-cold,decode,flashmla_sparse_fp8,l2-cold,279.689,0.9924
decode_b1_h32768_sparse_l2-cold,decode,flashmla_sparse_fp8,l2-cold,8.307,0.0295
decode_b1_h65536_sparse_l2-cold,decode,flashmla_sparse_fp8,l2-cold,8.207,0.0291
decode_b32_h32768_sparse_l2-cold,decode,flashmla_sparse_fp8,l2-cold,149.326,0.5298
decode_b32_h65536_sparse_l2-cold,decode,flashmla_sparse_fp8,l2-cold,148.009,0.5252
decode_b128_h131072_sparse_steady,decode,flashmla_sparse_fp8,steady,312.635,0.9217
decode_b128_h16384_sparse_steady,decode,flashmla_sparse_fp8,steady,316.274,0.9324
decode_b128_h2048_sparse_steady,decode,flashmla_sparse_fp8,steady,303.343,0.8943
decode_b128_h262144_sparse_steady,decode,flashmla_sparse_fp8,steady,314.145,0.9261
decode_b128_h32768_sparse_steady,decode,flashmla_sparse_fp8,steady,315.429,0.9299
decode_b128_h4096_sparse_steady,decode,flashmla_sparse_fp8,steady,317.346,0.9356
decode_b128_h524288_sparse_steady,decode,flashmla_sparse_fp8,steady,314.205,0.9263
decode_b128_h65536_sparse_steady,decode,flashmla_sparse_fp8,steady,313.417,0.9240
decode_b128_h8192_sparse_steady,decode,flashmla_sparse_fp8,steady,316.007,0.9316
decode_b16_h131072_sparse_steady,decode,flashmla_sparse_fp8,steady,144.747,0.4267
decode_b16_h16384_sparse_steady,decode,flashmla_sparse_fp8,steady,147.017,0.4334
decode_b16_h2048_sparse_steady,decode,flashmla_sparse_fp8,steady,149.922,0.4420
decode_b16_h262144_sparse_steady,decode,flashmla_sparse_fp8,steady,147.168,0.4339
decode_b16_h32768_sparse_steady,decode,flashmla_sparse_fp8,steady,146.400,0.4316
decode_b16_h4096_sparse_steady,decode,flashmla_sparse_fp8,steady,148.252,0.4371
decode_b16_h524288_sparse_steady,decode,flashmla_sparse_fp8,steady,147.136,0.4338
decode_b16_h65536_sparse_steady,decode,flashmla_sparse_fp8,steady,146.248,0.4312
decode_b16_h8192_sparse_steady,decode,flashmla_sparse_fp8,steady,148.026,0.4364
decode_b1_h131072_sparse_steady,decode,flashmla_sparse_fp8,steady,16.610,0.0490
decode_b1_h16384_sparse_steady,decode,flashmla_sparse_fp8,steady,16.378,0.0483
decode_b1_h2048_sparse_steady,decode,flashmla_sparse_fp8,steady,16.158,0.0476
decode_b1_h262144_sparse_steady,decode,flashmla_sparse_fp8,steady,16.423,0.0484
decode_b1_h32768_sparse_steady,decode,flashmla_sparse_fp8,steady,16.530,0.0487
decode_b1_h4096_sparse_steady,decode,flashmla_sparse_fp8,steady,16.478,0.0486
decode_b1_h524288_sparse_steady,decode,flashmla_sparse_fp8,steady,16.508,0.0487
decode_b1_h65536_sparse_steady,decode,flashmla_sparse_fp8,steady,16.490,0.0486
decode_b1_h8192_sparse_steady,decode,flashmla_sparse_fp8,steady,16.357,0.0482
decode_b256_h131072_sparse_steady,decode,flashmla_sparse_fp8,steady,319.457,0.9418
decode_b256_h16384_sparse_steady,decode,flashmla_sparse_fp8,steady,321.167,0.9468
decode_b256_h2048_sparse_steady,decode,flashmla_sparse_fp8,steady,339.201,1.0000
decode_b256_h262144_sparse_steady,decode,flashmla_sparse_fp8,steady,319.082,0.9407
decode_b256_h32768_sparse_steady,decode,flashmla_sparse_fp8,steady,318.192,0.9381
decode_b256_h4096_sparse_steady,decode,flashmla_sparse_fp8,steady,322.542,0.9509
decode_b256_h65536_sparse_steady,decode,flashmla_sparse_fp8,steady,317.000,0.9345
decode_b256_h8192_sparse_steady,decode,flashmla_sparse_fp8,steady,320.440,0.9447
decode_b2_h131072_sparse_steady,decode,flashmla_sparse_fp8,steady,30.829,0.0909
decode_b2_h16384_sparse_steady,decode,flashmla_sparse_fp8,steady,30.857,0.0910
decode_b2_h2048_sparse_steady,decode,flashmla_sparse_fp8,steady,30.793,0.0908
decode_b2_h262144_sparse_steady,decode,flashmla_sparse_fp8,steady,30.814,0.0908
decode_b2_h32768_sparse_steady,decode,flashmla_sparse_fp8,steady,30.883,0.0910
decode_b2_h4096_sparse_steady,decode,flashmla_sparse_fp8,steady,30.808,0.0908
decode_b2_h524288_sparse_steady,decode,flashmla_sparse_fp8,steady,30.932,0.0912
decode_b2_h65536_sparse_steady,decode,flashmla_sparse_fp8,steady,30.841,0.0909
decode_b2_h8192_sparse_steady,decode,flashmla_sparse_fp8,steady,30.808,0.0908
decode_b32_h131072_sparse_steady,decode,flashmla_sparse_fp8,steady,177.702,0.5239
decode_b32_h16384_sparse_steady,decode,flashmla_sparse_fp8,steady,177.679,0.5238
decode_b32_h2048_sparse_steady,decode,flashmla_sparse_fp8,steady,175.131,0.5163
decode_b32_h262144_sparse_steady,decode,flashmla_sparse_fp8,steady,176.833,0.5213
decode_b32_h32768_sparse_steady,decode,flashmla_sparse_fp8,steady,176.962,0.5217
decode_b32_h4096_sparse_steady,decode,flashmla_sparse_fp8,steady,180.023,0.5307
decode_b32_h524288_sparse_steady,decode,flashmla_sparse_fp8,steady,177.846,0.5243
decode_b32_h65536_sparse_steady,decode,flashmla_sparse_fp8,steady,176.558,0.5205
decode_b32_h8192_sparse_steady,decode,flashmla_sparse_fp8,steady,179.741,0.5299
decode_b4_h131072_sparse_steady,decode,flashmla_sparse_fp8,steady,67.598,0.1993
decode_b4_h16384_sparse_steady,decode,flashmla_sparse_fp8,steady,67.328,0.1985
decode_b4_h2048_sparse_steady,decode,flashmla_sparse_fp8,steady,66.688,0.1966
decode_b4_h262144_sparse_steady,decode,flashmla_sparse_fp8,steady,67.331,0.1985
decode_b4_h32768_sparse_steady,decode,flashmla_sparse_fp8,steady,67.265,0.1983
decode_b4_h4096_sparse_steady,decode,flashmla_sparse_fp8,steady,66.901,0.1972
decode_b4_h524288_sparse_steady,decode,flashmla_sparse_fp8,steady,67.101,0.1978
decode_b4_h65536_sparse_steady,decode,flashmla_sparse_fp8,steady,67.688,0.1996
decode_b4_h8192_sparse_steady,decode,flashmla_sparse_fp8,steady,67.244,0.1982
decode_b64_h131072_sparse_steady,decode,flashmla_sparse_fp8,steady,229.500,0.6766
decode_b64_h16384_sparse_steady,decode,flashmla_sparse_fp8,steady,230.723,0.6802
decode_b64_h2048_sparse_steady,decode,flashmla_sparse_fp8,steady,222.611,0.6563
decode_b64_h262144_sparse_steady,decode,flashmla_sparse_fp8,steady,229.277,0.6759
decode_b64_h32768_sparse_steady,decode,flashmla_sparse_fp8,steady,229.507,0.6766
decode_b64_h4096_sparse_steady,decode,flashmla_sparse_fp8,steady,212.582,0.6267
decode_b64_h524288_sparse_steady,decode,flashmla_sparse_fp8,steady,228.700,0.6742
decode_b64_h65536_sparse_steady,decode,flashmla_sparse_fp8,steady,229.979,0.6780
decode_b64_h8192_sparse_steady,decode,flashmla_sparse_fp8,steady,231.667,0.6830
decode_b8_h131072_sparse_steady,decode,flashmla_sparse_fp8,steady,115.451,0.3404
decode_b8_h16384_sparse_steady,decode,flashmla_sparse_fp8,steady,115.169,0.3395
decode_b8_h2048_sparse_steady,decode,flashmla_sparse_fp8,steady,116.968,0.3448
decode_b8_h262144_sparse_steady,decode,flashmla_sparse_fp8,steady,114.893,0.3387
decode_b8_h32768_sparse_steady,decode,flashmla_sparse_fp8,steady,115.994,0.3420
decode_b8_h4096_sparse_steady,decode,flashmla_sparse_fp8,steady,116.547,0.3436
decode_b8_h524288_sparse_steady,decode,flashmla_sparse_fp8,steady,114.395,0.3372
decode_b8_h65536_sparse_steady,decode,flashmla_sparse_fp8,steady,115.693,0.3411
decode_b8_h8192_sparse_steady,decode,flashmla_sparse_fp8,steady,115.979,0.3419
prefillq1024_b1_h32768_dense_l2-cold,prefill,flashinfer_fa3_dense_bf16,l2-cold,597.291,0.9876
prefillq1024_b1_h65536_dense_l2-cold,prefill,flashinfer_fa3_dense_bf16,l2-cold,604.801,1.0000
prefillq16_b64_h32768_dense_l2-cold,prefill,flashinfer_fa3_dense_bf16,l2-cold,580.979,0.9606
prefillq16_b64_h65536_dense_l2-cold,prefill,flashinfer_fa3_dense_bf16,l2-cold,589.354,0.9745
prefillq256_b8_h32768_dense_l2-cold,prefill,flashinfer_fa3_dense_bf16,l2-cold,603.878,0.9985
prefillq256_b8_h65536_dense_l2-cold,prefill,flashinfer_fa3_dense_bf16,l2-cold,592.625,0.9799
prefillq1024_b1_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,600.167,0.9157
prefillq1024_b1_h16384_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,573.802,0.8755
prefillq1024_b1_h2048_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,582.775,0.8892
prefillq1024_b1_h262144_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,595.604,0.9088
prefillq1024_b1_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,597.898,0.9123
prefillq1024_b1_h4096_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,610.111,0.9309
prefillq1024_b1_h524288_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,581.586,0.8874
prefillq1024_b1_h65536_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,603.905,0.9215
prefillq1024_b1_h8192_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,618.402,0.9436
prefillq1024_b2_h131072_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,594.320,0.9068
prefillq1024_b2_h16384_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,593.845,0.9061
prefillq1024_b2_h2048_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,581.913,0.8879
prefillq1024_b2_h262144_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,581.340,0.8870
prefillq1024_b2_h32768_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,603.321,0.9206
prefillq1024_b2_h4096_dense_steady,prefill,flashinfer_fa3_dense_bf16,steady,621.690,0.9486
