kind,backend,cache_state,platform_max_tflops,platform_max_est_logical_gbps,utilization_vs_h100_sxm_bf16_dense_peak,curve_H,threshold,min_batch,censored,observed_utilization_vs_platform_max
decode,flashmla_dense_bf16,l2-cold,373.908,3098.7,0.3779,,platform_max,,,1.0000
decode,flashmla_dense_bf16,l2-cold,373.908,3098.7,0.3779,32768,0.90,32,false,0.9000
decode,flashmla_dense_bf16,l2-cold,373.908,3098.7,0.3779,32768,0.95,128,false,0.9500
decode,flashmla_dense_bf16,l2-cold,373.908,3098.7,0.3779,65536,0.90,32,false,0.9000
decode,flashmla_dense_bf16,l2-cold,373.908,3098.7,0.3779,65536,0.95,32,false,0.9500
decode,flashmla_dense_bf16,steady,383.239,3165.7,0.3873,,platform_max,,,1.0000
decode,flashmla_dense_bf16,steady,383.239,3165.7,0.3873,2048,0.90,,true,0.9000
decode,flashmla_dense_bf16,steady,383.239,3165.7,0.3873,2048,0.95,,true,0.9500
decode,flashmla_dense_bf16,steady,383.239,3165.7,0.3873,4096,0.90,128,false,0.9000
decode,flashmla_dense_bf16,steady,383.239,3165.7,0.3873,4096,0.95,,true,0.9500
decode,flashmla_dense_bf16,steady,383.239,3165.7,0.3873,8192,0.90,128,false,0.9000
decode,flashmla_dense_bf16,steady,383.239,3165.7,0.3873,8192,0.95,128,false,0.9500
decode,flashmla_dense_bf16,steady,383.239,3165.7,0.3873,16384,0.90,128,false,0.9000
decode,flashmla_dense_bf16,steady,383.239,3165.7,0.3873,16384,0.95,,true,0.9500
decode,flashmla_dense_bf16,steady,383.239,3165.7,0.3873,32768,0.90,32,false,0.9000
decode,flashmla_dense_bf16,steady,383.239,3165.7,0.3873,32768,0.95,,true,0.9500
decode,flashmla_dense_bf16,steady,383.239,3165.7,0.3873,65536,0.90,16,false,0.9000
decode,flashmla_dense_bf16,steady,383.239,3165.7,0.3873,65536,0.95,64,false,0.9500
decode,flashmla_dense_bf16,steady,383.239,3165.7,0.3873,131072,0.90,8,false,0.9000
decode,flashmla_dense_bf16,steady,383.239,3165.7,0.3873,131072,0.95,32,false,0.9500
decode,flashmla_dense_bf16,steady,383.239,3165.7,0.3873,262144,0.90,4,false,0.9000
decode,flashmla_dense_bf16,steady,383.239,3165.7,0.3873,262144,0.95,16,false,0.9500
decode,flashmla_dense_bf16,steady,383.239,3165.7,0.3873,524288,0.90,2,false,0.9000
decode,flashmla_dense_bf16,steady,383.239,3165.7,0.3873,524288,0.95,8,false,0.9500
decode,flashmla_sparse_fp8,l2-cold,281.831,1465.2,0.2848,,platform_max,,,1.0000
decode,flashmla_sparse_fp8,l2-cold,281.831,1465.2,0.2848,32768,0.90,128,false,0.9000
decode,flashmla_sparse_fp8,l2-cold,281.831,1465.2,0.2848,32768,0.95,128,false,0.9500
decode,flashmla_sparse_fp8,l2-cold,281.831,1465.2,0.2848,65536,0.90,128,false,0.9000
decode,flashmla_sparse_fp8,l2-cold,281.831,1465.2,0.2848,65536,0.95,128,false,0.9500
decode,flashmla_sparse_fp8,steady,339.201,1641.3,0.3428,,platform_max,,,1.0000
decode,flashmla_sparse_fp8,steady,339.201,1641.3,0.3428,2048,0.90,256,false,0.9000
decode,flashmla_sparse_fp8,steady,339.201,1641.3,0.3428,2048,0.95,256,false,0.9500
decode,flashmla_sparse_fp8,steady,339.201,1641.3,0.3428,4096,0.90,128,false,0.9000
decode,flashmla_sparse_fp8,steady,339.201,1641.3,0.3428,4096,0.95,256,false,0.9500
decode,flashmla_sparse_fp8,steady,339.201,1641.3,0.3428,8192,0.90,128,false,0.9000
decode,flashmla_sparse_fp8,steady,339.201,1641.3,0.3428,8192,0.95,,true,0.9500
decode,flashmla_sparse_fp8,steady,339.201,1641.3,0.3428,16384,0.90,128,false,0.9000
decode,flashmla_sparse_fp8,steady,339.201,1641.3,0.3428,16384,0.95,,true,0.9500
decode,flashmla_sparse_fp8,steady,339.201,1641.3,0.3428,32768,0.90,128,false,0.9000
decode,flashmla_sparse_fp8,steady,339.201,1641.3,0.3428,32768,0.95,,true,0.9500
decode,flashmla_sparse_fp8,steady,339.201,1641.3,0.3428,65536,0.90,128,false,0.9000
decode,flashmla_sparse_fp8,steady,339.201,1641.3,0.3428,65536,0.95,,true,0.9500
decode,flashmla_sparse_fp8,steady,339.201,1641.3,0.3428,131072,0.90,128,false,0.9000
decode,flashmla_sparse_fp8,steady,339.201,1641.3,0.3428,131072,0.95,,true,0.9500
decode,flashmla_sparse_fp8,steady,339.201,1641.3,0.3428,262144,0.90,128,false,0.9000
decode,flashmla_sparse_fp8,steady,339.201,1641.3,0.3428,262144,0.95,,true,0.9500
decode,flashmla_sparse_fp8,steady,339.201,1641.3,0.3428,524288,0.90,128,false,0.9000
decode,flashmla_sparse_fp8,steady,339.201,1641.3,0.3428,524288,0.95,,true,0.9500
prefill,flashinfer_fa3_dense_bf16,l2-cold,604.801,5013.7,0.6112,,platform_max,,,1.0000
prefill,flashinfer_fa3_dense_bf16,steady,655.384,5441.3,0.6623,,platform_max,,,1.0000
prefill,flashmla_dense_bf16_multiquery,steady,1151.453,6219.4,1.1637,,platform_max,,,1.0000
prefill,flashmla_sparse_bf16,l2-cold,573.220,5021.6,0.5793,,platform_max,,,1.0000
prefill,flashmla_sparse_bf16,steady,649.485,5652.2,0.6564,,platform_max,,,1.0000
prefill,flashmla_sparse_bf16_fulltopk,steady,651.270,5541.5,0.6582,,platform_max,,,1.0000
